Phylum,Class,Order,Family,Genus,Species,B8-A,B8-B,B8-C,BA12-A,BA12-B,BA12-C,BB18-A,BB18-B,BB18-C,BL-A,BL-B,BL-C,FD10-A,FD10-B,FD10-C,FD14-A,FD14-B,FD14-C,FD6-A,FD6-B,FD6-C,FRLK-A,FRLK-B,FRLK-C,GN12-A,GN12-B,GN12-C,GW16-A,GW16-B,GW16-C,GW3-A,GW3-B,GW3-C,GYPL-A,GYPL-B,GYPL-C,H11H-A,H11H-B,H11H-C,H24H-A,H24H-B,H24H-C,H7H-A,H7H-B,H7H-C,HW-A,HW-B,HW-C,PC6-A,PC6-B,PC6-C,PF4-A,PF4-B,PF4-C,PG11-A,PG11-B,PG11-C,PMW-A,PMW-B,PMW-C,SHPL-A,SHPL-B,SHPL-C,WABL-A,WABL-B,WABL-C,Control
Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Byssocorticium,unidentified,0,0,0,0,0,0,0,0,0,0.002435295,0,0.002755255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Leptosporomyces,Leptosporomyces_galzinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59E-05,0.024474918,0
Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma,Piloderma_sphaerosporum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002063323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004217791,0,0
Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001505189,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Fuscoboletinus,Fuscoboletinus_spectabilis,0,0.000196541,6.50E-05,0,0,0,0.000272035,0.000121485,0.000625586,0.00011327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154823,0,0,0,0,0,0,0,0,0,0,0.000310583,0.000252605,0,0,0,0,0,0,0,0,0,0,0.000291613,0.000275028,0,0,0,0,0,0,0,0,0.00034395,0,0,0,0.000412201,0.078923716,0.000248787,0.000399547,0.000575153,0.000173581,0.000244963
Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Sistotrema,Sistotrema_raduloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280867,0,0,0,0,0
Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,unidentified,0.000134862,9.83E-05,0,0,0,0,0,0,0,0.002435295,0.012869293,0.000865937,0,0,0,0,0,0,0,5.73E-05,0,0,0,0,0.002760351,0,0,0,0.006320178,0.007785649,0,0,0,0,0.005978725,0,0,0,0,0,0,0,0,0,0,0.001485149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412201,0,0.019778579,0,0,0.005988544,0
Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unclassified_Ceratobasidiaceae,unclassified_Ceratobasidiaceae,0,0,0,0,0,0,0.000136017,0,0,0,0,0,0,0,6.13E-05,0,0,0,0,0,0,0,0,0.000154823,0,0.002780401,0,0.003028083,0.00147919,0,0,0,0.001635896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009298313,0,0
Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,Clavulina_cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006863808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000497574,0,0,0,0
Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,unclassified_Tulasnellaceae,unclassified_Tulasnellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046376,0,0,0,0,0,0,0,0,0,0.000231978,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,unidentified,unidentified,0,0,0,0,0,0.000390808,0,0,0,0,0,0,0,0.000991449,0,0,0,0,0,0,0,0,0.000512791,0.000877329,0,0.000157381,0,0,0,0,0,0.000867249,0,0.000452557,0,0,0,0.000150295,0,0,0,0,0,0,0,0,0,0,0.000183497,0.000684676,0.000774054,0,0,0,0.000927913,0,0,0.000473581,0,0,0,0,0,0,0,0.000694324,0
