ID	Sample_name	Row	Col	Population	Harv_2023_1	Harv_2023_2	Harv_2024_1	Harv_2024_2	Sample_id
LoRed	LoRed	107	1	DiversityPanel	NA	NA	NA	NA	LoRed   107,1
Lorraine Wild Unk	LorrainWU	116	15	DiversityPanel	NA	NA	NA	NA	LorrainWU   116,15
LRL01	LRL01	115	16	DiversityPanel	NA	NA	NA	NA	LRL01   115,16
LRL02	LRL02	115	17	DiversityPanel	NA	NA	NA	NA	LRL02   115,17
LRL03	LRL03	115	18	DiversityPanel	NA	NA	NA	NA	LRL03   115,18
LRL04	LRL04	115	19	DiversityPanel	NA	NA	NA	NA	LRL04   115,19
LRL05	LRL05	116	1	DiversityPanel	NA	NA	NA	NA	LRL05   116,1
LRL10	LRL10	116	2	DiversityPanel	NA	NA	NA	NA	LRL10   116,2
LRL11	LRL11	116	3	DiversityPanel	NA	NA	NA	NA	LRL11   116,3
LRL15	LRL15	116	4	DiversityPanel	NA	NA	NA	NA	LRL15   116,4
LRL18	LRL18	116	5	DiversityPanel	NA	NA	NA	NA	LRL18   116,5
MG02	MG02	108	16	DiversityPanel	NA	NA	NA	NA	MG02   108,16
MG03	MG03	108	17	DiversityPanel	NA	NA	NA	NA	MG03   108,17
MG04	MG04	108	18	DiversityPanel	NA	NA	NA	NA	MG04   108,18
MG07	MG07	108	19	DiversityPanel	NA	NA	NA	NA	MG07   108,19
MG09	MG09	109	1	DiversityPanel	NA	NA	NA	NA	MG09   109,1
MG12	MG12	109	2	DiversityPanel	NA	NA	NA	NA	MG12   109,2
Mullica Queen	MullicaQ	107	3	DiversityPanel	NA	NA	NA	NA	MullicaQ   107,3
Murphy's Green	MurphysG	109	4	DiversityPanel	NA	NA	NA	NA	MurphysG   109,4
Murphy's Green (a)	MurphysGA	109	3	DiversityPanel	NA	NA	NA	NA	MurphysGA   109,3
Pilgrim King	PilgrimK	107	4	DiversityPanel	NA	NA	NA	NA	PilgrimK   107,4
PMW02	PMW02	116	6	DiversityPanel	NA	NA	NA	NA	PMW02   116,6
PMW16	PMW16	116	7	DiversityPanel	NA	NA	NA	NA	PMW16   116,7
PMW20	PMW20	116	8	DiversityPanel	NA	NA	NA	NA	PMW20   116,8
Potter's Favorite	PottersFav	107	5	DiversityPanel	NA	NA	NA	NA	PottersFav   107,5
QS01	QS01	109	6	DiversityPanel	NA	NA	NA	NA	QS01   109,6
