pH,Rep,Sample_code,Label,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,2,110-13,1,0.852,0.071,14/10/24,0,1,2023,0,,Drew
4.5,1,110-16,1,0.503,0.148,15/10/24,0,2,2023,0,,Drew
4.5,2,110-16,1,0.622,0.184,15/10/24,0,2,2023,0,,Drew
1,1,110-16,1,2.081,0.142,15/10/24,0,2,2023,0,,Drew
1,2,110-16,1,1.832,0.144,15/10/24,0,2,2023,0,,Drew
4.5,2,110-5,1,0.719,0.114,14/10/24,0,2,2023,0,,Drew
4.5,1,110-5,1,0.703,0.161,14/10/24,0,2,2023,0,,Drew
1,2,110-5,1,3.328,0.15,14/10/24,0,2,2023,0,,Drew
1,1,110-5,1,3.215,0.16,14/10/24,0,2,2023,0,Both tubes are 15 g,Drew
4.5,1,111-10,1,0.253,0.059,15/10/24,0,1,2023,0,,Drew
4.5,2,111-10,1,0.259,0.063,15/10/24,0,1,2023,0,,Drew
1,1,111-10,1,1.065,0.042,15/10/24,0,1,2023,0,,Drew
1,2,111-10,1,1.202,0.076,15/10/24,0,1,2023,0,,Drew
4.5,2,111-16,1,0.088,0.046,15/10/24,0,2,2023,0,,Drew
4.5,1,111-16,1,0.112,0.061,15/10/24,0,2,2023,0,,Drew
1,2,111-16,1,0.144,0.069,15/10/24,0,2,2023,0,,Drew
1,1,111-16,1,0.15,0.077,15/10/24,0,2,2023,0,,Drew
4.5,1,111-5,1,0.653,0.156,11/10/24,0,2,2023,0,,Drew
4.5,2,111-5,1,0.714,0.178,11/10/24,0,2,2023,0,,Drew
1,1,111-5,1,3.207,0.126,11/10/24,0,2,2023,0,Both tubes are 18 g,Drew
1,2,111-5,1,3.263,0.127,11/10/24,0,2,2023,0,,Drew
4.5,1,112-10,1,0.208,0.028,15/10/24,0,1,2023,0,,Drew
4.5,2,112-10,1,0.249,0.037,15/10/24,0,1,2023,0,,Drew
1,1,112-10,1,1.267,0.025,15/10/24,0,1,2023,0,,Drew
1,2,112-10,1,1.368,0.032,15/10/24,0,1,2023,0,,Drew
4.5,2,112-16,0,0.271,0.052,15/10/24,0,1,2023,0,,Drew
4.5,1,112-16,0,0.304,0.079,15/10/24,0,1,2023,0,,Drew
1,2,112-16,0,1.625,0.042,15/10/24,0,1,2023,0,,Drew
1,1,112-16,0,1.477,0.056,15/10/24,0,1,2023,0,,Drew
4.5,2,112-5,1,0.334,0.073,14/10/24,0,2,2023,0,,Drew
4.5,1,112-5,1,0.351,0.079,14/10/24,0,2,2023,0,,Drew
1,2,112-5,1,1.178,0.049,14/10/24,0,2,2023,0,,Drew
1,1,112-5,1,2.01,0.066,14/10/24,0,2,2023,0,,Drew
4.5,1,112-7,1,0.254,0.126,15/10/24,0,1,2023,0,,Drew
4.5,2,112-7,1,0.279,0.135,15/10/24,0,1,2023,0,,Drew
1,1,112-7,1,0.439,0.12,15/10/24,0,1,2023,0,,Drew
1,2,112-7,1,0.489,0.12,15/10/24,0,1,2023,0,,Drew
4.5,2,113-10,1,1.31,0.108,15/10/24,0,1,2023,0,,Drew
4.5,1,113-10,1,1.089,0.139,15/10/24,0,1,2023,0,,Drew
