Sample_name,Row,Col,Population,Sample_id
CNJ1256137,11,21,ColorPanel,"CNJ1256137 11,21"
CNJ1256139,11,22,ColorPanel,"CNJ1256139 11,22"
CNJ1256141,11,23,ColorPanel,"CNJ1256141 11,23"
CNJ1256142,11,24,ColorPanel,"CNJ1256142 11,24"
CNJ1256143,11,26,ColorPanel,"CNJ1256143 11,26"
CNJ1256144,11,27,ColorPanel,"CNJ1256144 11,27"
CNJ1256145,11,28,ColorPanel,"CNJ1256145 11,28"
Stevens18,11,25,ColorPanel,"Stevens18 11,25"
CNJ0423702,12,27,ColorPanel,"CNJ0423702 12,27"
CNJ1256147,12,20,ColorPanel,"CNJ1256147 12,20"
CNJ1256148,12,22,ColorPanel,"CNJ1256148 12,22"
CNJ1256150,12,23,ColorPanel,"CNJ1256150 12,23"
CNJ1256153,12,24,ColorPanel,"CNJ1256153 12,24"
CNJ1256154,12,25,ColorPanel,"CNJ1256154 12,25"
CNJ1256155,12,26,ColorPanel,"CNJ1256155 12,26"
SD14,12,28,ColorPanel,"SD14 12,28"
Stevens05,12,21,ColorPanel,"Stevens05 12,21"
CNJ0823332,13,20,ColorPanel,"CNJ0823332 13,20"
CNJ0823336,13,25,ColorPanel,"CNJ0823336 13,25"
CNJ1256161,13,22,ColorPanel,"CNJ1256161 13,22"
CNJ1256162,13,23,ColorPanel,"CNJ1256162 13,23"
CNJ1256164,13,26,ColorPanel,"CNJ1256164 13,26"
SD15,13,21,ColorPanel,"SD15 13,21"
SD16,13,27,ColorPanel,"SD16 13,27"
SD17,13,28,ColorPanel,"SD17 13,28"
Stevens06,13,24,ColorPanel,"Stevens06 13,24"
CNJ0423701,14,22,ColorPanel,"CNJ0423701 14,22"
CNJ0823349,14,24,ColorPanel,"CNJ0823349 14,24"
CNJ1256172,14,21,ColorPanel,"CNJ1256172 14,21"
CNJ1256179,14,25,ColorPanel,"CNJ1256179 14,25"
CNJ1256181,14,27,ColorPanel,"CNJ1256181 14,27"
SD18,14,20,ColorPanel,"SD18 14,20"
SD19,14,23,ColorPanel,"SD19 14,23"
