No,pH,Rep,Sample_code,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
4,4.5,2,107-11,0.314,0.105,15/10/24,0,1,2023,0,,Drew
1,1,1,109-13,0.719,0.073,15/10/24,0,1,2023,0,,Drew
2,4.5,1,109-13,0.226,0.09,15/10/24,0,1,2023,0,,Drew
3,1,2,109-13,0.825,0.089,15/10/24,0,1,2023,0,,Drew
4,4.5,2,109-13,0.291,0.115,15/10/24,0,1,2023,0,,Drew
1,1,1,107-13,0.163,0.102,15/10/24,0,1,2023,0,Both tubes are 13 g,Drew
2,4.5,1,107-13,0.145,0.086,15/10/24,0,1,2023,0,,Drew
3,1,2,107-13,0.17,0.1,15/10/24,0,1,2023,0,,Drew
4,4.5,2,107-13,0.134,0.078,15/10/24,0,1,2023,0,,Drew
1,1,1,109-1,1.473,0.074,15/10/24,0,1,2023,0,,Drew
2,4.5,1,109-1,0.288,0.069,15/10/24,0,1,2023,0,,Drew
3,1,2,109-1,1.28,0.075,15/10/24,0,1,2023,0,,Drew
4,4.5,2,109-1,0.332,0.089,15/10/24,0,1,2023,0,,Drew
1,1,1,115-16,2.766,0.17,15/10/24,0,2,2023,0,,Drew
2,4.5,1,115-16,0.585,0.181,15/10/24,0,2,2023,0,,Drew
3,1,2,115-16,2.792,0.169,15/10/24,0,2,2023,0,,Drew
4,4.5,2,115-16,0.884,0.2,15/10/24,0,2,2023,0,,Drew
1,1,1,119-16,3.937,0.061,15/10/24,0,2,2023,0,,Drew
2,4.5,1,119-16,0.842,0.102,15/10/24,0,2,2023,0,,Drew
3,1,2,119-16,3.798,0.057,15/10/24,0,2,2023,0,,Drew
4,4.5,2,119-16,0.778,0.085,15/10/24,0,2,2023,0,,Drew
1,1,1,112-16,1.477,0.056,15/10/24,0,1,2023,0,,Drew
2,4.5,1,112-16,0.304,0.079,15/10/24,0,1,2023,0,,Drew
3,1,2,112-16,1.625,0.042,15/10/24,0,1,2023,0,,Drew
4,4.5,2,112-16,0.271,0.052,15/10/24,0,1,2023,0,,Drew
1,1,1,111-16,0.15,0.077,15/10/24,0,2,2023,0,,Drew
2,4.5,1,111-16,0.112,0.061,15/10/24,0,2,2023,0,,Drew
3,1,2,111-16,0.144,0.069,15/10/24,0,2,2023,0,,Drew
4,4.5,2,111-16,0.088,0.046,15/10/24,0,2,2023,0,,Drew
1,1,1,113-16,3.926,0.059,15/10/24,0,1,2023,0,,Drew
2,4.5,1,113-16,0.879,0.087,15/10/24,0,1,2023,0,,Drew
3,1,2,113-16,3.914,0.071,15/10/24,0,1,2023,0,,Drew
4,4.5,2,113-16,0.747,0.077,15/10/24,0,1,2023,0,,Drew
1,1,1,110-16,2.081,0.142,15/10/24,0,2,2023,0,,Drew
2,4.5,1,110-16,0.503,0.148,15/10/24,0,2,2023,0,,Drew
3,1,2,110-16,1.832,0.144,15/10/24,0,2,2023,0,,Drew
4,4.5,2,110-16,0.622,0.184,15/10/24,0,2,2023,0,,Drew
1,1,1,116-16,3.628,0.104,15/10/24,0,2,2023,0,Less than 20 g,Drew
2,4.5,1,116-16,0.802,0.119,15/10/24,0,2,2023,0,,Drew
3,1,2,116-16,4.061,0.116,15/10/24,0,2,2023,0,,Drew
4,4.5,2,116-16,0.784,0.13,15/10/24,0,2,2023,0,,Drew
1,1,1,108-16,2.22,0.11,15/10/24,0,2,2023,1,All reps came from 1 tube,Drew
2,4.5,1,108-16,0.441,0.128,15/10/24,0,2,2023,1,,Drew
3,1,2,108-16,1.745,0.075,15/10/24,0,2,2023,1,,Drew
4,4.5,2,108-16,0.462,0.13,15/10/24,0,2,2023,1,,Drew
1,1,1,117-10,0.961,0.098,15/10/24,0,1,2023,0,Less than 20 g,Drew
2,4.5,1,117-10,0.337,0.145,15/10/24,0,1,2023,0,,Drew
3,1,2,117-10,1.079,0.14,15/10/24,0,1,2023,0,,Drew
4,4.5,2,117-10,0.393,0.163,15/10/24,0,1,2023,0,,Drew
1,1,1,111-10,1.065,0.042,15/10/24,0,1,2023,0,,Drew
2,4.5,1,111-10,0.253,0.059,15/10/24,0,1,2023,0,,Drew
3,1,2,111-10,1.202,0.076,15/10/24,0,1,2023,0,,Drew
4,4.5,2,111-10,0.259,0.063,15/10/24,0,1,2023,0,,Drew
1,1,1,110-10,1.631,0.186,15/10/24,0,1,2023,1,Less than 20 g,Drew
2,4.5,1,110-10,0.628,0.241,15/10/24,0,1,2023,1,,Drew
3,1,2,110-10,1.613,0.176,15/10/24,0,1,2023,1,,Drew
4,4.5,2,110-10,0.786,0.279,15/10/24,0,1,2023,1,,Drew
