Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
WC170381,118,3,1,2024,Diversity Panel,"WC170381  118,3",51,49.04,0.96156863,20/9/24,
WC170382,118,4,1,2024,Diversity Panel,"WC170382  118,4",46,94.44,2.05304348,20/9/24,
WC170391,118,5,1,2024,Diversity Panel,"WC170391  118,5",44,76.63,1.74159091,20/9/24,
Stevens01,118,6,1,2024,Diversity Panel,"Stevens01  118,6",43,99.7,2.31860465,20/9/24,
WC170411,118,7,1,2024,Diversity Panel,"WC170411  118,7",50,66.65,1.333,20/9/24,
WC170421,118,8,1,2024,Diversity Panel,"WC170421  118,8",47,90.09,1.91680851,20/9/24,
WC170431,118,9,1,2024,Diversity Panel,"WC170431  118,9",44,86.7,1.97045455,20/9/24,
WC170534,119,1,1,2024,Diversity Panel,"WC170534  119,1",45,84.39,1.87533333,23/09/24,
WC170707,119,10,1,2024,Diversity Panel,"WC170707  119,10",45,78.27,1.73933333,23/09/24,
WC170721,119,11,1,2024,Diversity Panel,"WC170721  119,11",46,91.55,1.99021739,23/09/24,
Stevens16,119,12,1,2024,Diversity Panel,"Stevens16  119,12",44,84.92,1.93,23/09/24,
WC170743,119,13,1,2024,Diversity Panel,"WC170743  119,13",18,22.38,1.24333333,23/09/24,
WC170745,119,14,1,2024,Diversity Panel,"WC170745  119,14",42,73.61,1.75261905,23/09/24,
WC170794,119,15,1,2024,Diversity Panel,"WC170794  119,15",45,70.86,1.57466667,23/09/24,
WC170811,119,16,1,2024,Diversity Panel,"WC170811  119,16",34,58.85,1.73088235,23/09/24,
WC170861,119,17,1,2024,Diversity Panel,"WC170861  119,17",46,81.03,1.76152174,23/09/24,
WC170906,119,18,1,2024,Diversity Panel,"WC170906  119,18",44,92.46,2.10136364,23/09/24,
WC170992,119,19,1,2024,Diversity Panel,"WC170992  119,19",11,10.58,0.96181818,23/09/24,
WC170572,119,2,1,2024,Diversity Panel,"WC170572  119,2",2,4.48,2.24,23/09/24,
WC170621,119,3,1,2024,Diversity Panel,"WC170621  119,3",36,53.52,1.48666667,23/09/24,
WC17063,119,4,1,2024,Diversity Panel,"WC17063  119,4",46,82.45,1.7923913,23/09/24,
WC17064,119,5,1,2024,Diversity Panel,"WC17064  119,5",43,69.23,1.61,23/09/24,
WC170651,119,6,1,2024,Diversity Panel,"WC170651  119,6",43,78.21,1.81883721,23/09/24,
WC170652,119,7,1,2024,Diversity Panel,"WC170652  119,7",44,81.07,1.8425,23/09/24,
WC170653,119,8,1,2024,Diversity Panel,"WC170653  119,8",44,81.16,1.84454546,23/09/24,
WC170701,119,9,1,2024,Diversity Panel,"WC170701  119,9",43,83.83,1.94953488,23/09/24,
CNJ1256147,12,20,1,2024,Color Population,"CNJ1256147  12,20",44,60.37,1.37204546,25/09/2024,
Stevens05,12,21,1,2024,Color Population,"Stevens05  12,21",55,117.01,2.12745455,25/09/2024,
CNJ1256148,12,22,1,2024,Color Population,"CNJ1256148  12,22",49,62.74,1.28040816,25/09/24,
CNJ1256150,12,23,1,2024,Color Population,"CNJ1256150  12,23",43,59.44,1.38232558,25/09/24,
CNJ1256153,12,24,1,2024,Color Population,"CNJ1256153  12,24",30,39,1.3,25/09/2024,
CNJ1256154,12,25,1,2024,Color Population,"CNJ1256154  12,25",44,66.49,1.51113636,25/09/2024,
CNJ1256155,12,26,1,2024,Color Population,"CNJ1256155  12,26",51,61.65,1.20882353,25/09/2024,
CNJ0423702,12,27,1,2024,Color Population,"CNJ0423702  12,27",36,69.89,1.94138889,25/09/24,
SD14,12,28,1,2024,Color Population,"SD14  12,28",0,0,0,25/09/24,
CNJ0823332,13,20,1,2024,Color Population,"CNJ0823332  13,20",52,69.93,1.34480769,25/09/2024,
SD15,13,21,1,2024,Color Population,"SD15  13,21",17,43.33,2.54882353,25/09/2024,
CNJ1256161,13,22,1,2024,Color Population,"CNJ1256161  13,22",45,58.95,1.31,25/09/24,
CNJ1256162,13,23,1,2024,Color Population,"CNJ1256162  13,23",43,53.66,1.24790698,25/09/24,"Green, no red pigmentation"
Stevens06,13,24,1,2024,Color Population,"Stevens06  13,24",50,117.97,2.3594,25/09/2024,
CNJ0823336,13,25,1,2024,Color Population,"CNJ0823336  13,25",46,95.78,2.08217391,25/09/2024,Bonito color
CNJ1256164,13,26,1,2024,Color Population,"CNJ1256164  13,26",14,18.98,1.35571429,25/09/2024,
SD16,13,27,1,2024,Color Population,"SD16  13,27",0,0,0,25/09/2024,
SD17,13,28,1,2024,Color Population,"SD17  13,28",57,84.97,1.49070175,24/09/24,
SD18,14,20,1,2024,Color Population,"SD18  14,20",4,5.89,1.4725,24/09/24,
CNJ1256172,14,21,1,2024,Color Population,"CNJ1256172  14,21",43,52.62,1.22372093,25/09/2024,
CNJ0423701,14,22,1,2024,Color Population,"CNJ0423701  14,22",45,88.13,1.95844444,25/09/24,
SD19,14,23,1,2024,Color Population,"SD19  14,23",0,0,0,24/09/24,
CNJ0823349,14,24,1,2024,Color Population,"CNJ0823349  14,24",58,113.62,1.95896552,25/09/2024,
CNJ1256179,14,25,1,2024,Color Population,"CNJ1256179  14,25",49,68.94,1.40693878,24/09/24,
Stevens13,14,26,1,2024,Color Population,"Stevens13  14,26",41,97.65,2.38170732,25/09/2024,
CNJ1256181,14,27,1,2024,Color Population,"CNJ1256181  14,27",0,0,0,24/09/24,
SD20,14,28,1,2024,Color Population,"SD20  14,28",45,76.35,1.69666667,24/09/24,
CNJ0823337,15,20,1,2024,Color Population,"CNJ0823337  15,20",71,112.62,1.58619718,25/09/2024,
CNJ1256185,15,21,1,2024,Color Population,"CNJ1256185  15,21",37,33.73,0.91162162,25/09/2024,
CNJ1256186,15,22,1,2024,Color Population,"CNJ1256186  15,22",45,59.85,1.33,25/09/24,
CNJ1256188,15,23,1,2024,Color Population,"CNJ1256188  15,23",44,65.7,1.49318182,25/09/24,
CNJ0823379,15,24,1,2024,Color Population,"CNJ0823379  15,24",48,83.41,1.73770833,25/09/2024,
CNJ1256190,15,25,1,2024,Color Population,"CNJ1256190  15,25",47,76.3,1.62340426,24/09/24,Completamente amarillo/verdoso
CNJ1256191,15,26,1,2024,Color Population,"CNJ1256191  15,26",44,65.48,1.48818182,25/09/2024,
CNJ1256192,15,27,1,2024,Color Population,"CNJ1256192  15,27",49,76.72,1.56571429,24/09/24,
SD21,15,28,1,2024,Color Population,"SD21  15,28",44,57.5,1.30681818,24/09/24,
CNJ1256195,16,20,1,2024,Color Population,"CNJ1256195  16,20",72,92.82,1.28916667,24/09/24,
CNJ1256196,16,21,1,2024,Color Population,"CNJ1256196  16,21",19,23.57,1.24052632,25/09/2024,
CNJ1256197,16,22,1,2024,Color Population,"CNJ1256197  16,22",2,1.91,0.955,25/09/24,
SD22,16,23,1,2024,Color Population,"SD22  16,23",0,0,0,24/09/24,
Stevens10,16,24,1,2024,Color Population,"Stevens10  16,24",45,104.7,2.32666667,25/09/2024,
CNJ0823374,16,25,1,2024,Color Population,"CNJ0823374  16,25",47,90.57,1.92702128,24/09/24,
CNJ1256200,16,26,1,2024,Color Population,"CNJ1256200  16,26",41,68.69,1.67536585,25/09/2024,
Stevens03,16,27,1,2024,Color Population,"Stevens03  16,27",51,120.15,2.35588235,23/09/24,
CNJ1256201,16,28,1,2024,Color Population,"CNJ1256201  16,28",13,16.52,1.27076923,24/09/24,
CNJ1256202,17,20,1,2024,Color Population,"CNJ1256202  17,20",51,66.84,1.31058824,24/09/24,
Stevens17,17,21,1,2024,Color Population,"Stevens17  17,21",62,156.61,2.52596774,25/09/2024,
CNJ125801,17,22,1,2024,Color Population,"CNJ125801  17,22",46,54.4,1.1826087,25/09/24,
CNJ0823343,17,23,1,2024,Color Population,"CNJ0823343  17,23",42,64.35,1.53214286,24/09/24,
CNJ125803,17,24,1,2024,Color Population,"CNJ125803  17,24",13,19.64,1.51076923,25/09/2024,
CNJ125804,17,25,1,2024,Color Population,"CNJ125804  17,25",42,57.34,1.3652381,25/09/2024,
CNJ125805,17,26,1,2024,Color Population,"CNJ125805  17,26",47,62.25,1.32446809,25/09/2024,
CNJ125807,17,27,1,2024,Color Population,"CNJ125807  17,27",47,60.35,1.28404255,24/09/24,
CNJ125809,17,28,1,2024,Color Population,"CNJ125809  17,28",0,0,0,24/09/24,
CNJ125810,18,20,1,2024,Color Population,"CNJ125810  18,20",59,67.02,1.1359322,24/09/24,
CNJ125811,18,21,1,2024,Color Population,"CNJ125811  18,21",28,36.67,1.30964286,25/09/2024,
CNJ125812,18,22,1,2024,Color Population,"CNJ125812  18,22",45,48.28,1.07288889,25/09/24,
CNJ125813,18,23,1,2024,Color Population,"CNJ125813  18,23",44,74.24,1.68727273,25/09/24,
CNJ125815,18,24,1,2024,Color Population,"CNJ125815  18,24",48,60.8,1.26666667,25/09/2024,
Stevens15,18,25,1,2024,Color Population,"Stevens15  18,25",46,106.92,2.32434783,25/09/24,
CNJ125816,18,26,1,2024,Color Population,"CNJ125816  18,26",50,66.01,1.3202,25/09/2024,
CNJ125817,18,27,1,2024,Color Population,"CNJ125817  18,27",46,73.86,1.60565217,25/09/2024,
CNJ125820,18,28,1,2024,Color Population,"CNJ125820  18,28",44,50.73,1.15295455,24/09/24,
CNJ125821,19,20,1,2024,Color Population,"CNJ125821  19,20",43,55.41,1.28860465,24/09/24,
CNJ125822,19,21,1,2024,Color Population,"CNJ125822  19,21",45,52.1,1.15777778,25/09/2024,
Stevens14,19,22,1,2024,Color Population,"Stevens14  19,22",48,115.09,2.39770833,25/09/24,
CNJ125823,19,23,1,2024,Color Population,"CNJ125823  19,23",43,55.55,1.29186047,25/09/2024,
CNJ125824,19,24,1,2024,Color Population,"CNJ125824  19,24",46,62.66,1.36217391,25/09/2024,
CNJ125825,19,25,1,2024,Color Population,"CNJ125825  19,25",42,69.35,1.65119048,25/09/2024,
CNJ125826,19,26,1,2024,Color Population,"CNJ125826  19,26",41,68.1,1.66097561,25/09/2024,
Stevens01,19,27,1,2024,Color Population,"Stevens01  19,27",48,111.07,2.31395833,20/9/24,
CNJ125827,19,28,1,2024,Color Population,"CNJ125827  19,28",47,84.28,1.79319149,24/09/24,
CNJ082331,2,20,1,2024,Color Population,"CNJ082331  2,20",48,60.19,1.25395833,,
CNJ12561301,2,21,1,2024,Color Population,"CNJ12561301  2,21",0,0,0,25/09/2024,
Stevens11,2,22,1,2024,Color Population,"Stevens11  2,22",45,86.91,1.93133333,25/09/24,
CNJ125614,2,23,1,2024,Color Population,"CNJ125614  2,23",43,92.19,2.14395349,24/09/2024,
CNJ12561701,2,24,1,2024,Color Population,"CNJ12561701  2,24",49,70.3,1.43469388,25/09/2024,
CNJ0823338,2,25,1,2024,Color Population,"CNJ0823338  2,25",49,63.32,1.2922449,24/09/24,yellow/green
Stevens19,2,26,1,2024,Color Population,"Stevens19  2,26",41,100.36,2.44780488,25/09/2024,
CNJ0823312,2,27,1,2024,Color Population,"CNJ0823312  2,27",46,73.1,1.58913044,24/09/2024,
CNJ0823315,2,28,1,2024,Color Population,"CNJ0823315  2,28",49,113.96,2.32571429,24/09/24,
CNJ125828,20,20,1,2024,Color Population,"CNJ125828  20,20",1,1.34,1.34,24/09/24,
CNJ125829,20,21,1,2024,Color Population,"CNJ125829  20,21",3,4.33,1.44333333,25/09/2024,
CNJ125830,20,22,1,2024,Color Population,"CNJ125830  20,22",47,85.59,1.82106383,25/09/24,
CNJ125831,20,23,1,2024,Color Population,"CNJ125831  20,23",43,53.85,1.25232558,25/09/24,
CNJ125832,20,24,1,2024,Color Population,"CNJ125832  20,24",54,71.52,1.32444444,25/09/2024,
CNJ125833,20,25,1,2024,Color Population,"CNJ125833  20,25",66,96.11,1.45621212,24/09/24,
HyRed1605,20,26,1,2024,Color Population,"HyRed1605  20,26",59,111.22,1.88508475,,4 unlabeled bags in bunch
No351635,20,27,1,2024,Color Population,"No351635  20,27",50,100.01,2.0002,25/09/24,
BenLear1284,20,28,1,2024,Color Population,"BenLear1284  20,28",51,93.77,1.83862745,24/09/24,
Sweetie23,22,2,1,2024,Sweetie Population,Sweetie23,31,46.72,1.50709677,20/09/24,
Sweetie7,22,3,1,2024,Sweetie Population,Sweetie7,34,28.95,0.85147059,20/09/24,
Sweetie38,23,15,1,2024,Sweetie Population,Sweetie38,31,46.52,1.50064516,20/09/24,
Sweetie6,24,20,1,2024,Sweetie Population,Sweetie6,31,67.83,2.18806452,20/09/24,
Sweetie11,26,22,1,2024,Sweetie Population,Sweetie11,37,71.9,1.94324324,20/09/24,
Sweetie13,26,26,1,2024,Sweetie Population,Sweetie13,33,61.41,1.86090909,20/09/24,
Sweetie29,26,7,1,2024,Sweetie Population,Sweetie29,23,42.82,1.86173913,20/09/24,
Sweetie3,27,11,1,2024,Sweetie Population,Sweetie3,20,22.08,1.104,20/09/24,
Sweetie27,27,19,1,2024,Sweetie Population,Sweetie27,19,31.33,1.64894737,20/09/24,
Sweetie36,27,21,1,2024,Sweetie Population,Sweetie36,33,69.09,2.09363636,20/09/24,
Sweetie35,28,20,1,2024,Sweetie Population,Sweetie35,43,66.91,1.55604651,20/09/24,
CNJ0823362,3,20,1,2024,Color Population,"CNJ0823362  3,20",46,60.08,1.30608696,25/09/2024,
CNJ125631,3,21,1,2024,Color Population,"CNJ125631  3,21",26,21.79,0.83807692,25/09/2024,
CNJ0823354,3,22,1,2024,Color Population,"CNJ0823354  3,22",49,74.57,1.52183674,25/09/24,
CNJ0823335,3,23,1,2024,Color Population,"CNJ0823335  3,23",42,75.73,1.80309524,25/09/2024,
CNJ0823357,3,24,1,2024,Color Population,"CNJ0823357  3,24",45,57.56,1.27911111,25/09/2024,
CNJ0823358,3,25,1,2024,Color Population,"CNJ0823358  3,25",44,59.16,1.34454546,25/09/2024,revisar foto
CNJ125643,3,26,1,2024,Color Population,"CNJ125643  3,26",43,55.65,1.29418605,25/09/2024,
CNJ0823346,3,27,1,2024,Color Population,"CNJ0823346  3,27",38,68.76,1.80947368,24/09/24,
CNJ0823381,3,28,1,2024,Color Population,"CNJ0823381  3,28",5,4.25,0.85,25/09/2024,
Sweetie4,32,9,1,2024,Sweetie Population,Sweetie4,70,151.65,2.16642857,20/09/24,
Sweetie8,34,1,1,2024,Sweetie Population,Sweetie8,29,43.1,1.4862069,20/09/24,
Sweetie16,35,10,1,2024,Sweetie Population,Sweetie16,41,69.23,1.68853659,20/09/24,
Sweetie34,35,19,1,2024,Sweetie Population,Sweetie34,33,63.61,1.92757576,20/09/24,
CNJ125650,4,20,1,2024,Color Population,"CNJ125650  4,20",47,56.34,1.1987234,24/09/24,
CNJ125651,4,21,1,2024,Color Population,"CNJ125651  4,21",0,0,0,25/09/2024,
CNJ125652,4,22,1,2024,Color Population,"CNJ125652  4,22",0,0,0,25/09/24,
cnj125654,4,23,1,2024,Color Population,cnj125654,0,0,0,,
CNJ125654,4,23,1,2024,Color Population,"CNJ125654  4,23",0,0,0,25/09/24,
Stevens09,4,24,1,2024,Color Population,"Stevens09  4,24",48,119.54,2.49041667,25/09/2024,
SD02,4,25,1,2024,Color Population,"SD02  4,25",0,0,0,25/09/2024,
CNJ0423703,4,26,1,2024,Color Population,"CNJ0423703  4,26",39,74.83,1.91871795,,4 unlabeled bags in bunch
CNJ125656,4,27,1,2024,Color Population,"CNJ125656  4,27",0,0,0,25/09/24,
SD38,4,28,1,2024,Color Population,"SD38  4,28",0,0,0,24/09/24,
Sweetie2,40,16,1,2024,Sweetie Population,Sweetie2,29,53.85,1.85689655,20/09/24,
Sweetie14,42,43,1,2024,Sweetie Population,Sweetie14,30,41.16,1.372,20/09/24,
Sweetie12,44,18,1,2024,Sweetie Population,Sweetie12,33,45.62,1.38242424,20/09/24,
Sweetie9,44,26,1,2024,Sweetie Population,Sweetie9,31,51.89,1.67387097,20/09/24,
Sweetie17,44,6,1,2024,Sweetie Population,Sweetie17,39,71.76,1.84,20/09/24,
Sweetie26,46,12,1,2024,Sweetie Population,Sweetie26,27,36,1.33333333,20/09/24,
Sweetie31,47,24,1,2024,Sweetie Population,Sweetie31,31,45.98,1.48322581,20/09/24,
Sweetie20,49,5,1,2024,Sweetie Population,Sweetie20,31,54.51,1.7583871,20/09/24,
CNJ125658,5,20,1,2024,Color Population,"CNJ125658  5,20",0,0,0,25/09/24,
Stevens07,5,21,1,2024,Color Population,"Stevens07  5,21",49,113.16,2.30938776,25/09/2024,
CNJ125659,5,22,1,2024,Color Population,"CNJ125659  5,22",0,0,0,25/09/24,
SD03,5,23,1,2024,Color Population,"SD03  5,23",0,0,0,25/09/2024,
sd03,,,1,2024,Color Population,sd03,0,0,0,,
SD04,5,24,1,2024,Color Population,"SD04  5,24",0,0,0,25/09/2024,
CNJ125663,5,25,1,2024,Color Population,"CNJ125663  5,25",0,0,0,25/09/24,
SD39,5,26,1,2024,Color Population,"SD39  5,26",0,0,0,25/09/2024,
CNJ0823364,5,27,1,2024,Color Population,"CNJ0823364  5,27",53,103.73,1.95716981,25/09/2024,
CNJ0823373,5,28,1,2024,Color Population,"CNJ0823373  5,28",0,0,0,25/09/2024,
Sweetie10,50,16,1,2024,Sweetie Population,Sweetie10,31,45.88,1.48,20/09/24,
Sweetie32,50,26,1,2024,Sweetie Population,Sweetie32,33,55.3,1.67575758,20/09/24,
Sweetie30,51,25,1,2024,Sweetie Population,Sweetie30,31,67.4,2.17419355,20/09/24,
Sweetie24,51,27,1,2024,Sweetie Population,Sweetie24,30,50.08,1.66933333,20/09/24,
Sweetie1,51,9,1,2024,Sweetie Population,Sweetie1,17,21.8,1.28235294,20/09/24,
Sweetie15,54,28,1,2024,Sweetie Population,Sweetie15,30,39.95,1.33166667,20/09/24,
Sweetie5,55,1,1,2024,Sweetie Population,Sweetie5,30,39.33,1.311,20/09/24,
Sweetie18,57,4,1,2024,Sweetie Population,Sweetie18,37,40.72,1.10054054,20/09/24,
CNJ125667,6,20,1,2024,Color Population,"CNJ125667  6,20",42,70.93,1.68880952,25/09/24,
CNJ0423704,6,21,1,2024,Color Population,"CNJ0423704  6,21",50,85.98,1.7196,25/09/2024,
CNJ125668,6,22,1,2024,Color Population,"CNJ125668  6,22",46,53,1.15217391,25/09/24,"Bag had no yellow label, but 6 - 22 was the only one missing"
CNJ0823369,6,23,1,2024,Color Population,"CNJ0823369  6,23",42,73.85,1.75833333,25/09/2024,
SD05,6,24,1,2024,Color Population,"SD05  6,24",2,3.15,1.575,25/09/2024,
CNJ125671,6,25,1,2024,Color Population,"CNJ125671  6,25",48,101.94,2.12375,25/09/24,Very long
CNJ125673,6,26,1,2024,Color Population,"CNJ125673  6,26",27,33.8,1.25185185,25/09/2024,
Stevens04,6,27,1,2024,Color Population,"Stevens04  6,27",50,107.3,2.146,24/09/24,
CNJ0823371,6,28,1,2024,Color Population,"CNJ0823371  6,28",0,0,0,25/09/2024,
Sweetie33,61,9,1,2024,Sweetie Population,Sweetie33,30,56.21,1.87366667,20/09/24,
Sweetie21,64,15,1,2024,Sweetie Population,Sweetie21,29,32.02,1.10413793,20/09/24,
Sweetie22,64,16,1,2024,Sweetie Population,Sweetie22,14,12.29,0.87785714,20/09/24,
Sweetie37,67,3,1,2024,Sweetie Population,Sweetie37,8,6.9,0.8625,20/09/24,
SD06,7,20,1,2024,Color Population,"SD06  7,20",0,0,0,25/09/2024,
CNJ125677,7,21,1,2024,Color Population,"CNJ125677  7,21",27,38.07,1.41,25/09/2024,
CNJ125685,7,22,1,2024,Color Population,"CNJ125685  7,22",45,55.71,1.238,25/09/24,
SD07,7,23,1,2024,Color Population,"SD07  7,23",0,0,0,25/09/2024,
Stevens08,7,24,1,2024,Color Population,"Stevens08  7,24",48,89.63,1.86729167,25/09/2024,
SD08,7,25,1,2024,Color Population,"SD08  7,25",0,0,0,25/09/2024,
SD09,7,26,1,2024,Color Population,SD09,0,0,0,15/10/2024,
SD09,7,26,1,2024,Color Population,"SD09  7,26",0,0,0,25/09/2024,
SD40,7,27,1,2024,Color Population,"SD40  7,27",0,0,0,25/09/2024,
CNJ0823319,7,28,1,2024,Color Population,"CNJ0823319  7,28",0,0,0,24/09/24,
Sweetie25,73,15,1,2024,Sweetie Population,Sweetie25,30,45.86,1.52866667,20/09/24,
Sweetie19,74,2,1,2024,Sweetie Population,Sweetie19,29,36.45,1.25689655,20/09/24,
Sweetie28,75,5,1,2024,Sweetie Population,Sweetie28,39,40.71,1.04384615,20/09/24,
Stevens02,8,20,1,2024,Color Population,"Stevens02  8,20",50,113.08,2.2616,25/09/2024,
CNJ1256102,8,21,1,2024,Color Population,"CNJ1256102  8,21",40,54.42,1.3605,25/09/2024,
SD10,8,22,1,2024,Color Population,"SD10  8,22",0,0,0,25/09/24,
CNJ1256105,8,23,1,2024,Color Population,"CNJ1256105  8,23",5,8.29,1.658,25/09/2024,
CNJ1256106,8,24,1,2024,Color Population,"CNJ1256106  8,24",0,0,0,25/09/2024,
CNJ1256108,8,25,1,2024,Color Population,"CNJ1256108  8,25",28,45.86,1.63785714,25/09/2024,
CNJ0823321,8,26,1,2024,Color Population,"CNJ0823321  8,26",45,86.06,1.91244444,25/09/2024,
SD11,8,27,1,2024,Color Population,"SD11  8,27",0,0,0,25/09/24,
CNJ0823323,8,28,1,2024,Color Population,"CNJ0823323  8,28",0,0,0,25/09/2024,
CNJ1256113,9,20,1,2024,Color Population,"CNJ1256113  9,20",15,17.1,1.14,25/09/2024,
SD41,9,21,1,2024,Color Population,"SD41  9,21",2,2.15,1.075,25/09/2024,
CNJ0823351,9,22,1,2024,Color Population,"CNJ0823351  9,22",44,47.33,1.07568182,25/09/24,
CNJ0823341,9,23,1,2024,Color Population,"CNJ0823341  9,23",42,42.14,1.00333333,24/09/24,
CNJ0823324,9,24,1,2024,Color Population,"CNJ0823324  9,24",49,99.74,2.0355102,25/09/2024,
SD12,9,25,1,2024,Color Population,"SD12  9,25",0,0,0,25/09/24,
Stevens12,9,26,1,2024,Color Population,"Stevens12  9,26",44,104.5,2.375,,4 unlabeled bags in bunch
CNJ0823326,9,27,1,2024,Color Population,"CNJ0823326  9,27",48,99.91,2.08145833,25/09/2024,
SD13,9,28,1,2024,Color Population,"SD13  9,28",0,0,0,25/09/24,
Sweetie39,NA,NA,1,2024,Sweetie Population,Sweetie39,0,0,0,,Incomplete information
Sweetie40,NA,NA,1,2024,Sweetie Population,Sweetie40,0,0,0,,Incomplete information
