Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
YBS21,108,13,1,2024,Diversity Panel,"YBS21  108,13",49,93.23,1.90265306,25/09/2024,
YBS22,108,14,1,2024,Diversity Panel,"YBS22  108,14",50,79.96,1.5992,25/09/2024,
YBS23,108,15,1,2024,Diversity Panel,"YBS23  108,15",43,61.16,1.42232558,25/09/2024,
MG02,108,16,1,2024,Diversity Panel,"MG02  108,16",52,70.87,1.36288462,25/09/2024,
MG03,108,17,1,2024,Diversity Panel,"MG03  108,17",40,59.42,1.4855,25/09/2024,
MG04,108,18,1,2024,Diversity Panel,"MG04  108,18",30,33.41,1.11366667,25/09/2024,
MG07,108,19,1,2024,Diversity Panel,"MG07  108,19",50,67.81,1.3562,25/09/2024,
YBS10,108,2,1,2024,Diversity Panel,"YBS10  108,2",39,62.05,1.59102564,25/09/2024,
Stevens07,108,3,1,2024,Diversity Panel,"Stevens07  108,3",65,154.63,2.37892308,25/09/2024,
YBS11,108,4,1,2024,Diversity Panel,"YBS11  108,4",51,67.21,1.31784314,25/09/2024,
YBS12,108,5,1,2024,Diversity Panel,"YBS12  108,5",47,96.8,2.05957447,25/09/2024,
YBS13,108,6,1,2024,Diversity Panel,"YBS13  108,6",51,78.48,1.53882353,25/09/2024,
YBS14,108,7,1,2024,Diversity Panel,"YBS14  108,7",46,69.72,1.51565217,25/09/2024,
YBS16,108,8,1,2024,Diversity Panel,"YBS16  108,8",42,57.27,1.36357143,25/09/2024,
YBS17,108,9,1,2024,Diversity Panel,"YBS17  108,9",40,63.13,1.57825,24/09/24,Luce enferma (puntos negros)
MG09,109,1,1,2024,Diversity Panel,"MG09  109,1",38,54.85,1.44342105,24/09/24,
QS04,109,10,1,2024,Diversity Panel,"QS04  109,10",47,74.68,1.58893617,24/09/24,
QS05,109,11,1,2024,Diversity Panel,"QS05  109,11",52,91.35,1.75673077,24/09/24,
QS06,109,12,1,2024,Diversity Panel,"QS06  109,12",45,53.3,1.18444444,24/09/24,
QS07,109,13,1,2024,Diversity Panel,"QS07  109,13",47,72.38,1.54,24/09/24,
QS08,109,14,1,2024,Diversity Panel,"QS08  109,14",47,74.28,1.58042553,24/09/24,
DP14,109,15,1,2024,Diversity Panel,"DP14  109,15",46,92.65,2.01413044,24/09/24,
DP17,109,16,1,2024,Diversity Panel,"DP17  109,16",42,123.58,2.94238095,24/09/24,
WC16026,109,17,1,2024,Diversity Panel,"WC16026  109,17",50,90.13,1.8026,24/09/24,
WC12001,109,18,1,2024,Diversity Panel,"WC12001  109,18",49,61.89,1.26306122,24/09/24,
Stevens05,109,19,1,2024,Diversity Panel,"Stevens05  109,19",47,79.5,1.69148936,24/09/24,
MG12,109,2,1,2024,Diversity Panel,"MG12  109,2",41,45.45,1.10853659,24/09/24,
MurphysGA,109,3,1,2024,Diversity Panel,"MurphysGA  109,3",47,81.57,1.73553192,24/09/24,
MurphysG,109,4,1,2024,Diversity Panel,"MurphysG  109,4",46,52.21,1.135,24/09/24,
CNJ1049,109,5,1,2024,Diversity Panel,"CNJ1049  109,5",45,65.15,1.44777778,24/09/24,
QS01,109,6,1,2024,Diversity Panel,"QS01  109,6",45,63.68,1.41511111,25/09/2024,
QS02,109,7,1,2024,Diversity Panel,"QS02  109,7",47,74.85,1.59255319,24/09/24,
QS03,109,8,1,2024,Diversity Panel,"QS03  109,8",45,64.3,1.42888889,24/09/24,
Stevens04,109,9,1,2024,Diversity Panel,"Stevens04  109,9",46,91.31,1.985,24/09/24,
CNJ1256135,11,20,1,2024,Color Population,"CNJ1256135  11,20",47,63.48,1.3506383,24/09/24,
CNJ1256137,11,21,1,2024,Color Population,"CNJ1256137  11,21",45,76.5,1.7,25/09/2024,
CNJ1256139,11,22,1,2024,Color Population,"CNJ1256139  11,22",56,66.85,1.19375,25/09/24,
CNJ1256141,11,23,1,2024,Color Population,"CNJ1256141  11,23",43,68.11,1.58395349,24/09/2024,
CNJ1256142,11,24,1,2024,Color Population,"CNJ1256142  11,24",0,0,0,25/09/2024,
Stevens18,11,25,1,2024,Color Population,"Stevens18  11,25",50,108.99,2.1798,25/09/2024,
CNJ1256143,11,26,1,2024,Color Population,"CNJ1256143  11,26",52,71.01,1.36557692,25/09/2024,
CNJ1256144,11,27,1,2024,Color Population,"CNJ1256144  11,27",0,0,0,25/09/2024,
CNJ1256145,11,28,1,2024,Color Population,"CNJ1256145  11,28",0,0,0,25/09/2024,
WC12006,110,1,1,2024,Diversity Panel,"WC12006  110,1",48,29.53,0.61520833,25/09/24,
WC12104,110,10,1,2024,Diversity Panel,"WC12104  110,10",51,43.73,0.85745098,25/09/24,
Stevens09,110,11,1,2024,Diversity Panel,"Stevens09  110,11",0,0,0,24/09/24,
Stevens15,110,12,1,2024,Diversity Panel,"Stevens15  110,12",44,91.1,2.07045455,25/09/24,
WC12110,110,13,1,2024,Diversity Panel,"WC12110  110,13",50,54.22,1.0844,25/09/24,
WC12112,110,14,1,2024,Diversity Panel,"WC12112  110,14",51,41.41,0.81196078,25/09/24,
WC12-114,110,15,1,2024,Diversity Panel,"WC12-114  110,15",57,66.47,1.16614035,25/09/24,
WC12131,110,16,1,2024,Diversity Panel,"WC12131  110,16",52,57.09,1.09788462,25/09/24,
WC12132,110,17,1,2024,Diversity Panel,"WC12132  110,17",65,66.92,1.02953846,25/09/24,
WC12133,110,18,1,2024,Diversity Panel,"WC12133  110,18",55,54.84,0.99709091,25/09/24,
WC12153,110,19,1,2024,Diversity Panel,"WC12153  110,19",54,114.82,2.1262963,25/09/24,
WC12008,110,2,1,2024,Diversity Panel,"WC12008  110,2",69,56.1,0.81304348,25/09/24,
WC12012,110,3,1,2024,Diversity Panel,"WC12012  110,3",63,58.89,0.9347619,25/09/24,
WC12014,110,4,1,2024,Diversity Panel,"WC12014  110,4",54,39.89,0.7387037,25/09/24,
WC12017,110,5,1,2024,Diversity Panel,"WC12017  110,5",48,29.78,0.62041667,25/09/24,
WC12032,110,6,1,2024,Diversity Panel,"WC12032  110,6",56,53.22,0.95035714,25/09/24,
WC12090,110,7,1,2024,Diversity Panel,"WC12090  110,7",1,0.76,0.76,25/09/24,
WC12091,110,8,1,2024,Diversity Panel,"WC12091  110,8",54,60.66,1.12333333,25/09/24,
WC12101,110,9,1,2024,Diversity Panel,"WC12101  110,9",55,53.97,0.98127273,25/09/24,
WC12199,111,1,1,2024,Diversity Panel,"WC12199  111,1",44,42.97,0.97659091,24/09/24,
WC16004,111,10,1,2024,Diversity Panel,"WC16004  111,10",43,88.64,2.06139535,24/09/24,
WC16011,111,11,1,2024,Diversity Panel,"WC16011  111,11",45,65.83,1.46288889,24/09/24,
WC16014,111,12,1,2024,Diversity Panel,"WC16014  111,12",43,41.58,0.96697674,24/09/24,
WC16017,111,13,1,2024,Diversity Panel,"WC16017  111,13",47,60.16,1.28,24/09/24,
WC16018,111,14,1,2024,Diversity Panel,"WC16018  111,14",50,66.77,1.3354,24/09/24,
WC16023,111,15,1,2024,Diversity Panel,"WC16023  111,15",48,91.02,1.89625,24/09/24,
WC16027,111,16,1,2024,Diversity Panel,"WC16027  111,16",57,93.8,1.64561404,24/09/24,Very green fruits. Interesting color.
WC16029,111,17,1,2024,Diversity Panel,"WC16029  111,17",42,81.6,1.94285714,24/09/24,Very green fruits. Interesting color.
