No,pH,Rep,Sample_code,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
2,4.5,1,119-13,0.59,0.276,24/10/24,20,1,2023,0,,
3,1,2,119-13,1.393,0.23,24/10/24,20,1,2023,0,,
4,4.5,2,119-13,0.62,0.302,24/10/24,20,1,2023,0,,
1,1,1,114-13,1.059,0.8,24/10/24,20,1,2023,0,,
2,4.5,1,114-13,0.452,0.17,24/10/24,20,1,2023,0,,
3,1,2,114-13,2.317,0.187,24/10/24,20,1,2023,0,,
4,4.5,2,114-13,0.792,0.301,24/10/24,20,1,2023,0,,
1,1,1,117-13,2.463,0.127,24/10/24,20,1,2023,0,,
2,4.5,1,117-13,0.55,0.137,24/10/24,20,1,2023,0,,
3,1,2,117-13,2.381,0.126,24/10/24,20,1,2023,0,,
4,4.5,2,117-13,0.53,0.135,24/10/24,20,1,2023,0,,
1,1,1,113-13,2.681,0.152,24/10/24,20,1,2023,0,,
2,4.5,1,113-13,0.621,0.164,24/10/24,20,1,2023,0,,
3,1,2,113-13,2.743,0.162,24/10/24,20,1,2023,0,,
4,4.5,2,113-13,0.652,0.171,24/10/24,20,1,2023,0,,
1,1,1,108-13,0.22,0.106,24/10/24,20,1,2023,0,,
2,4.5,1,108-13,0.182,0.111,24/10/24,20,1,2023,0,,
3,1,2,108-13,0.251,0.126,24/10/24,20,1,2023,0,,
4,4.5,2,108-13,0.184,0.108,24/10/24,20,1,2023,0,,
1,1,1,116-13,2.497,0.175,24/10/24,20,1,2023,0,,
2,4.5,1,116-13,0.626,0.195,24/10/24,20,1,2023,0,,
3,1,2,116-13,0.2843,0.193,24/10/24,20,1,2023,0,,
4,4.5,2,116-13,0.687,0.182,24/10/24,20,1,2023,0,,
1,1,1,118-8,0.928,0.168,24/10/24,20,1,2023,0,,
2,4.5,1,118-8,0.459,0.177,24/10/24,20,1,2023,0,,
3,1,2,118-8,0.847,0.134,24/10/24,20,1,2023,0,,
4,4.5,2,118-8,0.323,0.13,24/10/24,20,1,2023,0,,
1,1,1,106-8,0.38,0.077,24/10/24,20,1,2023,0,,
2,4.5,1,106-8,0.22,0.106,24/10/24,20,1,2023,0,,
3,1,2,106-8,0.383,0.098,24/10/24,20,1,2023,0,,
4,4.5,2,106-8,0.219,0.104,24/10/24,20,1,2023,0,,
1,1,1,116-8,1.171,0.146,24/10/24,20,1,2023,0,,
2,4.5,1,116-8,0.414,0.15,24/10/24,20,1,2023,0,,
3,1,2,116-8,1.07,0.102,24/10/24,20,1,2023,0,,
4,4.5,2,116-8,0.387,0.123,24/10/24,20,1,2023,0,,
1,1,1,119-8,3.464,0.105,24/10/24,20,1,2023,0,,
2,4.5,1,119-8,0.967,0.133,24/10/24,20,1,2023,0,,
3,1,2,119-8,3.91,0.145,24/10/24,20,1,2023,0,,
4,4.5,2,119-8,1.115,0.156,24/10/24,20,1,2023,0,,
1,1,1,107-8,2.368,0.108,24/10/24,20,1,2023,0,,
2,4.5,1,107-8,0.728,0.184,24/10/24,20,1,2023,0,,
3,1,2,107-8,2.317,0.115,24/10/24,20,1,2023,0,,
4,4.5,2,107-8,0.541,0.135,24/10/24,20,1,2023,0,,
1,1,1,108-8,0.375,0.134,24/10/24,20,1,2023,0,,
2,4.5,1,108-8,0.316,0.17,24/10/24,20,1,2023,0,,
3,1,2,108-8,0.407,0.149,24/10/24,20,1,2023,0,,
4,4.5,2,108-8,0.305,0.162,24/10/24,20,1,2023,0,,
1,1,1,113-8,0.917,1.06,24/10/24,20,1,2023,0,,
2,4.5,1,113-8,0.323,0.136,24/10/24,20,1,2023,0,,
3,1,2,113-8,0.957,0.117,24/10/24,20,1,2023,0,,
4,4.5,2,113-8,0.287,0.115,24/10/24,20,1,2023,0,,
1,1,1,111-8,1.345,0.068,24/10/24,20,1,2023,0,,
2,4.5,1,111-8,0.289,0.07,24/10/24,20,1,2023,0,,
3,1,2,111-8,1.338,0.061,24/10/24,20,1,2023,0,,
4,4.5,2,111-8,0.276,0.067,24/10/24,20,1,2023,0,,
1,1,1,8-25,1.79,0.22,24/10/24,20,1,2023,0,,
2,4.5,1,8-25,0.837,0.294,24/10/24,20,1,2023,0,,
3,1,2,8-25,1.621,0.195,24/10/24,20,1,2023,0,,
4,4.5,2,8-25,0.688,0.247,24/10/24,20,1,2023,0,,
1,1,1,19-25,0.386,0.217,24/10/24,20,1,2023,0,,
2,4.5,1,19-25,0.43,0.273,24/10/24,20,1,2023,0,,
3,1,2,19-25,0.485,0.29,24/10/24,20,1,2023,0,,
4,4.5,2,19-25,0.369,0.23,24/10/24,20,1,2023,0,,
1,1,1,10-26,0.293,0.133,24/10/24,20,1,2023,0,,
2,4.5,1,10-26,0.244,0.142,24/10/24,20,1,2023,0,,
3,1,2,10-26,0.297,0.143,24/10/24,20,1,2023,0,,
4,4.5,2,10-26,0.27,0.158,24/10/24,20,1,2023,0,,
1,1,1,6-25,3.07,0.267,24/10/24,20,1,2023,0,,
2,4.5,1,6-25,0.86,0.273,24/10/24,20,1,2023,0,,
3,1,2,6-25,2.959,0.251,24/10/24,20,1,2023,0,,
4,4.5,2,6-25,0.951,0.296,24/10/24,20,1,2023,0,,
1,1,1,8-26,1.592,0.156,24/10/24,20,1,2023,0,,
2,4.5,1,8-26,0.489,0.152,24/10/24,20,1,2023,0,,
3,1,2,8-26,1.638,0.156,24/10/24,20,1,2023,0,,
4,4.5,2,8-26,0.546,0.16,24/10/24,20,1,2023,0,,
1,1,1,15-25,0.356,0.172,24/10/24,20,1,2023,0,,
2,4.5,1,15-25,0.315,0.191,24/10/24,20,1,2023,0,,
3,1,2,15-25,0.404,0.201,24/10/24,20,1,2023,0,,
4,4.5,2,15-25,0.331,0.199,24/10/24,20,1,2023,0,,
1,1,1,4-26,1.326,0.142,24/10/24,20,1,2023,0,,
2,4.5,1,4-26,0.49,0.156,24/10/24,20,1,2023,0,,
3,1,2,4-26,1.456,0.128,24/10/24,20,1,2023,0,,
4,4.5,2,4-26,0.502,0.14,24/10/24,20,1,2023,0,,
1,1,1,18-26,0.477,0.243,24/10/24,20,1,2023,0,,
2,4.5,1,18-26,0.431,0.282,24/10/24,20,1,2023,0,,
3,1,2,18-26,0.42,0.225,24/10/24,20,1,2023,0,,
4,4.5,2,18-26,0.377,0.255,24/10/24,20,1,2023,0,,
1,1,1,10-25,2.337,0.226,24/10/24,20,1,2023,0,,
2,4.5,1,10-25,1.104,0.457,24/10/24,20,1,2023,0,,
3,1,2,10-25,2.398,0.251,24/10/24,20,1,2023,0,,
4,4.5,2,10-25,0.906,0.273,24/10/24,20,1,2023,0,,
1,1,1,111-3,2.64,0.2,24/10/24,20,1,2023,0,,
2,4.5,1,111-3,0.843,0.245,24/10/24,20,1,2023,0,,
3,1,2,111-3,3.035,0.251,24/10/24,20,1,2023,0,,
4,4.5,2,111-3,0.875,0.254,24/10/24,20,1,2023,0,,
1,1,1,115-9,2.427,0.188,24/10/24,20,1,2023,0,,
2,4.5,1,115-9,0.799,0.219,24/10/24,20,1,2023,0,,
3,1,2,115-9,2.27,0.404,24/10/24,20,1,2023,0,,
4,4.5,2,115-9,0.894,0.295,24/10/24,20,1,2023,0,,
1,1,1,14-25,0.749,0.435,24/10/24,20,1,2023,0,,
2,4.5,1,14-25,0.687,0.463,24/10/24,20,1,2023,0,,
3,1,2,14-25,0.55,0.289,24/10/24,20,1,2023,0,,
4,4.5,2,14-25,0.48,0.298,24/10/24,20,1,2023,0,,
1,1,1,6-26,0.694,0.184,24/10/24,20,1,2023,0,,
2,4.5,1,6-26,0.419,0.215,24/10/24,20,1,2023,0,,
3,1,2,6-26,0.634,0.172,24/10/24,20,1,2023,0,,
4,4.5,2,6-26,0.379,0.192,24/10/24,20,1,2023,0,,
1,1,1,16-25,0.342,0.154,24/10/24,20,1,2023,0,,
2,4.5,1,16-25,0.288,0.169,24/10/24,20,1,2023,0,,
3,1,2,16-25,0.364,0.163,24/10/24,20,1,2023,0,,
4,4.5,2,16-25,0.258,0.145,24/10/24,20,1,2023,0,,
1,1,1,12-26,1.724,0.213,24/10/24,20,1,2023,0,,
2,4.5,1,12-26,0.783,0.272,24/10/24,20,1,2023,0,,
3,1,2,12-26,2.085,0.333,24/10/24,20,1,2023,0,,
4,4.5,2,12-26,0.895,0.333,24/10/24,20,1,2023,0,,
1,1,1,20-25,2.084,0.271,24/10/24,20,1,2023,0,,
2,4.5,1,20-25,1.115,0.313,24/10/24,20,1,2023,0,,
3,1,2,20-25,3.38,0.344,24/10/24,20,1,2023,0,,
4,4.5,2,20-25,1.188,0.362,24/10/24,20,1,2023,0,,
1,1,1,117-9,2.287,0.287,28/10/24,20,1,2023,0,,
2,4.5,1,117-9,0.859,0.285,28/10/24,20,1,2023,0,,
3,1,2,117-9,2.143,0.272,28/10/24,20,1,2023,0,,
4,4.5,2,117-9,0.874,0.284,28/10/24,20,1,2023,0,,
1,1,1,110-19,2.88,0.224,28/10/24,20,1,2023,0,,
2,4.5,1,110-19,0.737,0.206,28/10/24,20,1,2023,0,,
3,1,2,110-19,2.329,0.193,28/10/24,20,1,2023,0,,
4,4.5,2,110-19,0.783,0.213,28/10/24,20,1,2023,0,,
1,1,1,109-8,2.857,0.153,28/10/24,20,1,2023,0,,
2,4.5,1,109-8,0.788,0.16,28/10/24,20,1,2023,0,,
3,1,2,109-8,2.888,0.169,28/10/24,20,1,2023,0,,
4,4.5,2,109-8,0.734,0.156,28/10/24,20,1,2023,0,,
1,1,1,115-19,4.834,0.308,28/10/24,20,1,2023,0,,
2,4.5,1,115-19,1.558,0.34,28/10/24,20,1,2023,0,,
3,1,2,115-19,5,0.285,28/10/24,20,1,2023,0,,
4,4.5,2,115-19,1.888,0.337,28/10/24,20,1,2023,0,,
1,1,1,116-19,1.307,0.25,28/10/24,20,1,2023,0,,
2,4.5,1,116-19,0.648,0.296,28/10/24,20,1,2023,0,,
3,1,2,116-19,1.431,0.265,28/10/24,20,1,2023,0,,
4,4.5,2,116-19,0.267,0.269,28/10/24,20,1,2023,0,,
1,1,1,111-19,2.105,0.247,28/10/24,20,1,2023,0,,
2,4.5,1,111-19,NA,NA,28/10/24,20,1,2023,0,Spilled,
3,1,2,111-19,NA,NA,28/10/24,20,1,2023,0,Spilled,
4,4.5,2,111-19,0.702,0.223,28/10/24,20,1,2023,0,,
1,1,1,115-8,2.579,0.188,28/10/24,20,1,2023,0,,
2,4.5,1,115-8,0.845,0.227,28/10/24,20,1,2023,0,,
3,1,2,115-8,2.512,0.182,28/10/24,20,1,2023,0,,
4,4.5,2,115-8,0.872,0.215,28/10/24,20,1,2023,0,,
1,1,1,110-8,2.503,0.157,28/10/24,20,1,2023,0,,
2,4.5,1,110-8,0.853,0.181,28/10/24,20,1,2023,0,,
3,1,2,110-8,2.376,0.157,28/10/24,20,1,2023,0,,
4,4.5,2,110-8,0.824,0.182,28/10/24,20,1,2023,0,,
1,1,1,106-19,1.587,0.198,29/10/24,20,1,2023,0,,
2,4.5,1,106-19,0.558,0.198,29/10/24,20,1,2023,0,,
3,1,2,106-19,1.431,0.199,29/10/24,20,1,2023,0,,
4,4.5,2,106-19,0.529,0.193,29/10/24,20,1,2023,0,,
1,1,1,112-6,3.656,0.204,29/10/24,20,1,2023,0,,
2,4.5,1,112-6,1.053,0.196,29/10/24,20,1,2023,0,,
3,1,2,112-6,3.633,0.213,29/10/24,20,1,2023,0,,
4,4.5,2,112-6,1.107,0.199,29/10/24,20,1,2023,0,,
1,1,1,119-6,3.267,0.22,29/10/24,20,1,2023,0,,
2,4.5,1,119-6,1.011,0.184,29/10/24,20,1,2023,0,,
3,1,2,119-6,3.612,0.217,29/10/24,20,1,2023,0,,
4,4.5,2,119-6,0.991,0.203,29/10/24,20,1,2023,0,,
1,1,1,118-6,2.24,0.216,29/10/24,20,1,2023,0,,
2,4.5,1,118-6,0.585,0.09,29/10/24,20,1,2023,0,,
3,1,2,118-6,2.078,0.111,29/10/24,20,1,2023,0,,
4,4.5,2,118-6,0.543,0.163,29/10/24,20,1,2023,0,,
1,1,1,113-6,1.847,0.125,29/10/24,20,1,2023,0,,
2,4.5,1,113-6,0.526,0.252,29/10/24,20,1,2023,0,,
3,1,2,113-6,1.597,0.226,29/10/24,20,1,2023,0,,
4,4.5,2,113-6,1.833,0.244,29/10/24,20,1,2023,0,,
1,1,1,109-6,1.346,0.182,29/10/24,20,1,2023,0,,
2,4.5,1,109-6,2.095,0.443,29/10/24,20,1,2023,0,,
3,1,2,109-6,1.891,0.071,29/10/24,20,1,2023,0,,
4,4.5,2,109-6,1.896,0.082,29/10/24,20,1,2023,0,,
1,1,1,111-6,2.55,0.112,29/10/24,20,1,2023,0,,
2,4.5,1,111-6,0.64,0.123,29/10/24,20,1,2023,0,,
3,1,2,111-6,NA,NA,29/10/24,20,1,2023,0,,
4,4.5,2,111-6,NA,NA,29/10/24,20,1,2023,0,,
1,1,1,108-6,0.735,0.34,29/10/24,20,1,2023,0,,
2,4.5,1,108-6,0.598,0.377,29/10/24,20,1,2023,0,,
3,1,2,108-6,0.7,0.34,29/10/24,20,1,2023,0,,
4,4.5,2,108-6,0.551,0.35,29/10/24,20,1,2023,0,,
1,1,1,117-9,2.287,0.287,28/10/24,20,1,2023,0,,
2,4.5,1,117-9,0.859,0.285,28/10/24,20,1,2023,0,,
3,1,2,117-9,2.143,0.272,28/10/24,20,1,2023,0,,
4,4.5,2,117-9,0.874,0.284,28/10/24,20,1,2023,0,,
1,1,1,110-19,2.88,0.224,28/10/24,20,1,2023,0,,
2,4.5,1,110-19,0.737,0.206,28/10/24,20,1,2023,0,,
3,1,2,110-19,2.329,0.193,28/10/24,20,1,2023,0,,
4,4.5,2,110-19,0.783,0.213,28/10/24,20,1,2023,0,,
1,1,1,109-8,2.857,0.153,28/10/24,20,1,2023,0,,
2,4.5,1,109-8,0.788,0.16,28/10/24,20,1,2023,0,,
3,1,2,109-8,2.888,0.169,28/10/24,20,1,2023,0,,
4,4.5,2,109-8,0.734,0.156,28/10/24,20,1,2023,0,,
1,1,1,115-19,4.834,0.308,28/10/24,20,1,2023,0,,
2,4.5,1,115-19,1.558,0.34,28/10/24,20,1,2023,0,,
3,1,2,115-19,5,0.285,28/10/24,20,1,2023,0,,
4,4.5,2,115-19,1.888,0.337,28/10/24,20,1,2023,0,,
1,1,1,116-19,1.307,0.25,28/10/24,20,1,2023,0,,
2,4.5,1,116-19,0.648,0.296,28/10/24,20,1,2023,0,,
3,1,2,116-19,1.431,0.265,28/10/24,20,1,2023,0,,
4,4.5,2,116-19,0.267,0.269,28/10/24,20,1,2023,0,,
1,1,1,111-19,2.105,0.247,28/10/24,20,1,2023,0,,
2,4.5,1,111-19,NA,NA,28/10/24,20,1,2023,0,,
3,1,2,111-19,NA,NA,28/10/24,20,1,2023,0,,
4,4.5,2,111-19,0.702,0.223,28/10/24,20,1,2023,0,,
1,1,1,115-8,2.579,0.188,28/10/24,20,1,2023,0,,
2,4.5,1,115-8,0.845,0.227,28/10/24,20,1,2023,0,,
3,1,2,115-8,2.512,0.182,28/10/24,20,1,2023,0,,
4,4.5,2,115-8,0.872,0.215,28/10/24,20,1,2023,0,,
1,1,1,110-8,2.503,0.157,28/10/24,20,1,2023,0,,
2,4.5,1,110-8,0.853,0.181,28/10/24,20,1,2023,0,,
3,1,2,110-8,2.376,0.157,28/10/24,20,1,2023,0,,
4,4.5,2,110-8,0.824,0.182,28/10/24,20,1,2023,0,,
1,1,1,116-1,5,0.205,28/10/24,20,1,2023,0,,
2,4.5,1,116-1,1.56,0.219,28/10/24,20,1,2023,0,,
3,1,2,116-1,5,0.175,28/10/24,20,1,2023,0,,
4,4.5,2,116-1,1.331,0.185,28/10/24,20,1,2023,0,,
1,1,1,13-25,0.465,0.212,28/10/24,20,1,2023,0,,
2,4.5,1,13-25,0.382,0.225,28/10/24,20,1,2023,0,,
3,1,2,13-25,0.466,0.228,28/10/24,20,1,2023,0,,
4,4.5,2,13-25,0.385,0.235,28/10/24,20,1,2023,0,,
1,1,1,3-25,0.231,0.138,28/10/24,20,1,2023,0,,
2,4.5,1,3-25,0.258,0.171,28/10/24,20,1,2023,0,,
3,1,2,3-25,0.243,0.147,28/10/24,20,1,2023,0,,
4,4.5,2,3-25,0.245,0.162,28/10/24,20,1,2023,0,,
1,1,1,14-26,0.427,0.301,28/10/24,20,1,2023,0,Only enough berries for 1 rep,
2,4.5,1,14-26,0.41,0.324,28/10/24,20,1,2023,0,,
3,1,2,15-25,2.494,0.316,28/10/24,20,1,2023,0,,
4,4.5,2,15-25,0.866,0.325,28/10/24,20,1,2023,0,,
1,1,1,15-25,2.264,0.253,28/10/24,20,1,2023,0,,
2,4.5,1,15-25,0.782,0.29,28/10/24,20,1,2023,0,,
3,1,2,16-26,0.337,0.181,28/10/24,20,1,2023,0,Only enough berries for 1 rep,
4,4.5,2,16-26,0.303,0.185,28/10/24,20,1,2023,0,,
1,1,1,113-14,4.419,0.166,28/10/24,20,1,2023,0,,
2,4.5,1,113-14,0.827,0.151,28/10/24,20,1,2023,0,,
3,1,2,113-14,3.801,0.162,28/10/24,20,1,2023,0,,
4,4.5,2,113-14,1.199,0.187,28/10/24,20,1,2023,0,,
1,1,1,112-19,1.586,0.154,28/10/24,20,1,2023,0,,
2,4.5,1,112-19,0.504,0.157,28/10/24,20,1,2023,0,,
3,1,2,112-19,1.608,0.152,28/10/24,20,1,2023,0,,
4,4.5,2,112-19,0.509,0.287,28/10/24,20,1,2023,0,,
1,1,1,112-8,2.922,0.339,28/10/24,20,1,2023,0,,
2,4.5,1,112-8,1.196,0.381,28/10/24,20,1,2023,0,,
3,1,2,112-8,3.223,0.383,28/10/24,20,1,2023,0,,
4,4.5,2,112-8,1.311,0.425,28/10/24,20,1,2023,0,,
1,1,1,119-19,2.845,0.209,28/10/24,20,1,2023,0,,
2,4.5,1,119-19,1.051,0.313,28/10/24,20,1,2023,0,,
3,1,2,119-19,-,-,28/10/24,20,1,2023,0,,
4,4.5,2,119-19,-,-,28/10/24,20,1,2023,0,,
1,1,1,108-19,2.133,0.166,28/10/24,20,1,2023,0,,
2,4.5,1,108-19,0.661,0.178,28/10/24,20,1,2023,0,,
3,1,2,108-19,1.772,0.151,28/10/24,20,1,2023,0,,
4,4.5,2,108-19,0.711,0.215,28/10/24,20,1,2023,0,,
1,1,1,116-6,1.964,0.138,28/10/24,20,1,2023,0,,
2,4.5,1,116-6,0.647,0.154,28/10/24,20,1,2023,0,,
3,1,2,116-6,1.884,0.116,28/10/24,20,1,2023,0,,
4,4.5,2,116-6,0.546,0.121,28/10/24,20,1,2023,0,,
1,1,1,114-6,3.918,0.217,28/10/24,20,1,2023,0,,
2,4.5,1,114-6,0.849,0.193,28/10/24,20,1,2023,0,,
3,1,2,114-6,3.632,0.188,28/10/24,20,1,2023,0,,
4,4.5,2,114-6,1.04,0.185,28/10/24,20,1,2023,0,,
1,1,1,107-6,3.434,0.199,28/10/24,20,1,2023,0,,
2,4.5,1,107-6,1.008,0.195,28/10/24,20,1,2023,0,,
3,1,2,107-6,3.837,0.202,28/10/24,20,1,2023,0,,
4,4.5,2,107-6,1.05,0.191,28/10/24,20,1,2023,0,,
1,1,1,114-19,2.52,0.282,29/10/24,20,1,2023,0,,
2,4.5,1,114-19,0.961,0.299,29/10/24,20,1,2023,0,,
3,1,2,114-19,3.323,0.26,29/10/24,20,1,2023,0,,
4,4.5,2,114-19,1.001,0.318,29/10/24,20,1,2023,0,,
1,1,1,106-6,1.362,0.2025,29/10/24,20,1,2023,0,,
2,4.5,1,106-6,0.537,0.211,29/10/24,20,1,2023,0,,
3,1,2,106-6,1.218,0.228,29/10/24,20,1,2023,0,,
4,4.5,2,106-6,0.544,0.243,29/10/24,20,1,2023,0,,
1,1,1,110-6,2.004,0.271,29/10/24,20,1,2023,0,,
2,4.5,1,110-6,0.751,0.3,29/10/24,20,1,2023,0,,
3,1,2,110-6,1.962,0.235,29/10/24,20,1,2023,0,,
4,4.5,2,110-6,0.777,0.292,29/10/24,20,1,2023,0,,
1,1,1,115-6,2.902,0.101,29/10/24,20,1,2023,0,,
2,4.5,1,115-6,0.688,0.105,29/10/24,20,1,2023,0,,
3,1,2,115-6,-,-,29/10/24,20,1,2023,0,No juice produced for rep 2,
4,4.5,2,115-6,-,-,29/10/24,20,1,2023,0,No juice produced for rep 2,
1,1,1,7-28,0.921,0.126,29/10/24,20,1,2023,0,,
2,4.5,1,7-28,0.354,0.127,29/10/24,20,1,2023,0,,
3,1,2,7-28,0.839,0.114,29/10/24,20,1,2023,0,,
4,4.5,2,7-28,0.317,0.114,29/10/24,20,1,2023,0,,
1,1,1,117-6,-,-,29/10/24,20,1,2023,0,,
2,4.5,1,117-6,-,-,29/10/24,20,1,2023,0,,
3,1,2,117-6,-,-,29/10/24,20,1,2023,0,,
4,4.5,2,117-6,-,-,29/10/24,20,1,2023,0,,
1,1,1,11-27,-,-,29/10/24,20,1,2023,0,Not enough berries for 2 reps,
2,4.5,1,11-27,-,-,29/10/24,20,1,2023,0,Not enough berries for 2 reps,
3,1,2,11-27,0.221,0.137,29/10/24,20,1,2023,0,,
4,4.5,2,11-27,0.27,0.165,29/10/24,20,1,2023,0,,
1,1,1,1-28,1.823,0.118,29/10/24,20,1,2023,0,,
2,4.5,1,1-28,0.554,0.132,29/10/24,20,1,2023,0,,
3,1,2,1-28,2.203,0.135,29/10/24,20,1,2023,0,,
4,4.5,2,1-28,0.677,0.148,29/10/24,20,1,2023,0,,
1,1,1,2-28,0.474,0.12,29/10/24,20,1,2023,0,,
2,4.5,1,2-28,0.25,0.122,29/10/24,20,1,2023,0,,
3,1,2,2-28,0.438,0.1,29/10/24,20,1,2023,0,,
4,4.5,2,2-28,0.233,0.11,29/10/24,20,1,2023,0,,
1,1,1,3-27,0.493,0.156,29/10/24,20,1,2023,0,,
2,4.5,1,3-27,0.303,0.197,29/10/24,20,1,2023,0,,
3,1,2,3-27,0.419,0.102,29/10/24,20,1,2023,0,,
4,4.5,2,3-27,0.208,0.095,29/10/24,20,1,2023,0,,
1,1,1,5-28,0.627,0.196,29/10/24,20,1,2023,0,,
2,4.5,1,5-28,0.355,0.189,29/10/24,20,1,2023,0,,
3,1,2,5-28,0.519,0.166,29/10/24,20,1,2023,0,,
4,4.5,2,5-28,0.292,0.162,29/10/24,20,1,2023,0,,
1,1,1,5-27,0.735,0.193,30/10/24,20,1,2023,0,,
2,4.5,1,5-27,0.444,0.225,30/10/24,20,1,2023,0,,
3,1,2,5-27,0.71,0.189,30/10/24,20,1,2023,0,,
4,4.5,2,5-27,0.41,0.21,30/10/24,20,1,2023,0,,
1,1,1,20-28,5,0.261,30/10/24,20,1,2023,0,,
2,4.5,1,20-28,1.417,0.291,30/10/24,20,1,2023,0,,
3,1,2,20-28,5,0.243,30/10/24,20,1,2023,0,,
4,4.5,2,20-28,1.625,0.297,30/10/24,20,1,2023,0,,
1,1,1,112-6,0.518,0.263,30/10/24,20,1,2023,0,,
2,4.5,1,112-6,0.488,0.313,30/10/24,20,1,2023,0,,
3,1,2,112-6,0.495,0.236,30/10/24,20,1,2023,0,,
4,4.5,2,112-6,0.439,0.269,30/10/24,20,1,2023,0,,
1,1,1,11-28,0.332,0.203,30/10/24,20,1,2023,0,,
2,4.5,1,11-28,0.334,0.217,30/10/24,20,1,2023,0,,
3,1,2,11-28,0.333,0.205,30/10/24,20,1,2023,0,,
4,4.5,2,11-28,0.342,0.22,30/10/24,20,1,2023,0,,
1,1,1,6-27,1.399,0.137,30/10/24,20,1,2023,0,,
2,4.5,1,6-27,1.438,0.143,30/10/24,20,1,2023,0,,
3,1,2,6-27,1.33,0.119,30/10/24,20,1,2023,0,,
4,4.5,2,6-27,0.422,0.133,30/10/24,20,1,2023,0,,
1,1,1,6-28,0.347,0.196,30/10/24,20,1,2023,0,,
2,4.5,1,6-28,0.351,0.236,30/10/24,20,1,2023,0,,
3,1,2,6-28,0.361,0.193,30/10/24,20,1,2023,0,,
4,4.5,2,6-28,0.338,0.217,30/10/24,20,1,2023,0,,
1,1,1,12-20,2.176,0.286,30/10/24,20,1,2023,0,,
2,4.5,1,12-20,0.934,0.367,30/10/24,20,1,2023,0,,
3,1,2,12-20,2.344,0.333,30/10/24,20,1,2023,0,,
4,4.5,2,12-20,0.95,0.381,30/10/24,20,1,2023,0,,
1,1,1,3-28,0.191,0.11,30/10/24,20,1,2023,0,,
2,4.5,1,3-28,0.195,0.121,30/10/24,20,1,2023,0,,
3,1,2,3-28,0.195,0.109,30/10/24,20,1,2023,0,,
4,4.5,2,3-28,0.185,0.115,30/10/24,20,1,2023,0,,
1,1,1,1-20,0.382,0.141,30/10/24,20,1,2023,0,,
2,4.5,1,1-20,0.307,0.169,30/10/24,20,1,2023,0,,
3,1,2,1-20,0.371,0.126,30/10/24,20,1,2023,0,,
4,4.5,2,1-20,0.243,0.134,30/10/24,20,1,2023,0,,
1,1,1,20-27,1.213,0.171,30/10/24,20,1,2023,0,,
2,4.5,1,20-27,0.447,0.177,30/10/24,20,1,2023,0,,
3,1,2,20-27,1.159,0.179,30/10/24,20,1,2023,0,,
4,4.5,2,20-27,0.45,0.179,30/10/24,20,1,2023,0,,
1,1,1,16-27,2.179,0.139,30/10/24,20,1,2023,0,,
2,4.5,1,16-27,0.512,0.128,30/10/24,20,1,2023,0,,
3,1,2,16-27,1.76,0.113,30/10/24,20,1,2023,0,,
4,4.5,2,16-27,0.523,0.129,30/10/24,20,1,2023,0,,
1,1,1,19-27,1.476,0.129,30/10/24,20,1,2023,0,,
2,4.5,1,19-27,0.452,0.144,30/10/24,20,1,2023,0,,
3,1,2,19-27,1.741,0.145,30/10/24,20,1,2023,0,,
4,4.5,2,19-27,0.759,0.192,30/10/24,20,1,2023,0,,
1,1,1,9-27,0.935,0.117,30/10/24,20,1,2023,0,,
2,4.5,1,9-27,0.339,0.122,30/10/24,20,1,2023,0,,
3,1,2,9-27,0.886,0.117,30/10/24,20,1,2023,0,,
4,4.5,2,9-27,0.327,0.115,30/10/24,20,1,2023,0,,
1,1,1,13-20,0.74,0.189,30/10/24,20,1,2023,0,,
2,4.5,1,13-20,0.382,0.195,30/10/24,20,1,2023,0,,
3,1,2,13-20,0.738,0.18,30/10/24,20,1,2023,0,,
4,4.5,2,13-20,0.333,0.172,30/10/24,20,1,2023,0,,
1,1,1,5-27,0.338,0.136,30/10/24,20,1,2023,0,,
2,4.5,1,5-27,0.247,0.137,30/10/24,20,1,2023,0,,
3,1,2,5-27,0.31,0.116,30/10/24,20,1,2023,0,,
4,4.5,2,5-27,0.224,0.12,30/10/24,20,1,2023,0,,
1,1,1,15-27,0.174,0.097,30/10/24,20,1,2023,0,,
2,4.5,1,15-27,0.18,0.105,30/10/24,20,1,2023,0,,
3,1,2,15-27,0.216,0.129,30/10/24,20,1,2023,0,,
4,4.5,2,15-27,0.206,0.126,30/10/24,20,1,2023,0,,
1,1,1,4-20,0.437,0.211,30/10/24,20,1,2023,0,,
2,4.5,1,4-20,0.357,0.217,30/10/24,20,1,2023,0,,
3,1,2,4-20,0.396,0.183,30/10/24,20,1,2023,0,,
4,4.5,2,4-20,0.323,0.194,30/10/24,20,1,2023,0,,
1,1,1,17-27,0.339,0.184,30/10/24,20,1,2023,0,,
2,4.5,1,17-27,0.311,0.194,30/10/24,20,1,2023,0,,
3,1,2,17-27,0.32,0.176,30/10/24,20,1,2023,0,,
4,4.5,2,17-27,0.306,0.184,30/10/24,20,1,2023,0,,
1,1,1,6-20,1.105,0.185,30/10/24,20,1,2023,0,,
2,4.5,1,6-20,0.407,0.16,30/10/24,20,1,2023,0,,
3,1,2,6-20,0.102,0.181,30/10/24,20,1,2023,0,,
4,4.5,2,6-20,398,0.16,30/10/24,20,1,2023,0,,
