ID_Fruit,N_Locules,Mean_Area,SD_Area,CV_Area,Position_X,Position_Y
2,3,171.66666666666666,73.67892054945793,42.91975954337355,203,518
6,4,143.0,28.864626563783336,20.18505354110723,125,514
11,4,101.875,35.29488867621864,34.645289498128726,440,510
16,3,330.0,174.56875436343125,52.8996225343731,279,506
20,5,140.6,81.95074740354721,58.28644907791409,366,504
26,4,111.125,29.0584898667039,26.149372208507447,277,445
31,4,111.625,32.291317202410106,28.928391670692143,367,443
36,4,199.125,23.403614393222828,11.753227567217992,200,441
41,4,191.25,16.760568804985905,8.763696107182174,126,440
46,4,106.5,10.472185381603339,9.833037916998439,436,439
51,4,153.5,21.122657661067812,13.760689030011605,362,372
56,4,146.75,29.024415009895836,19.77813629294435,198,370
61,4,203.5,31.424512724941337,15.442020995057169,430,369
66,4,146.0,21.590893141939883,14.788282973931427,273,369
71,4,186.25,67.20181049148403,36.08150898871625,124,367
76,4,200.25,27.44843650677879,13.70708439789203,434,297
81,4,177.25,14.637281168304447,8.257986554755682,356,295
86,4,109.75,12.54657987926059,11.431963443517622,201,293
91,4,151.125,14.670690735840171,9.707653092367359,275,291
96,4,204.0,45.19955751995809,22.156645843116713,124,290
101,4,170.0,21.77536834743942,12.80904020437613,125,216
106,4,211.5,5.552777082985894,2.6254265167782003,433,215
111,4,137.375,26.94863942143771,19.6168439828482,273,215
116,4,185.25,29.179044992368524,15.751171385893938,198,213
121,4,159.875,39.75419265100643,24.865796810637327,358,211
