"","RAPiD Genomics Sample Code","Unique Client Code"
"139","VAC_155005_P002_WD06","BL05"
"140","VAC_155005_P002_WD07","Chip03"
"141","VAC_155005_P002_WD08","GYPL18"
"142","VAC_155005_P002_WD09","KLB17"
"143","VAC_155005_P002_WD10","LOLM03"
"144","VAC_155005_P002_WD11","LRL05"
"145","VAC_155005_P002_WD12","SEB15"
"146","VAC_155005_P002_WE01","WC16-014"
"147","VAC_155005_P002_WE02","WC16-037"
"148","VAC_155005_P002_WE03","WC16-056"
"149","VAC_155005_P002_WE04","WC16-067"
"150","VAC_155005_P002_WE05","WC17-003"
"151","VAC_155005_P002_WE06","BL09"
"152","VAC_155005_P002_WE07","Chip05"
"153","VAC_155005_P002_WE08","GYPL19"
"154","VAC_155005_P002_WE09","LL07"
"155","VAC_155005_P002_WE10","LOLM07"
"156","VAC_155005_P002_WE11","LRL10"
"157","VAC_155005_P002_WE12","SHPL13"
"158","VAC_155005_P002_WF01","WC16-017"
"159","VAC_155005_P002_WF02","WC16-040"
"160","VAC_155005_P002_WF03","WC16-058"
"161","VAC_155005_P002_WF04","WC16-068"
"162","VAC_155005_P002_WF05","WC17-004"
"163","VAC_155005_P002_WF06","BL10"
"164","VAC_155005_P002_WF07","Chip07"
"165","VAC_155005_P002_WF08","GYPL28"
"166","VAC_155005_P002_WF09","LL08"
"167","VAC_155005_P002_WF10","LOLM11"
"168","VAC_155005_P002_WF11","LRL11"
"169","VAC_155005_P002_WF12","WABL04"
"170","VAC_155005_P002_WG01","WC16-018"
"171","VAC_155005_P002_WG02","WC16-041"
"172","VAC_155005_P002_WG03","WC16-059"
"173","VAC_155005_P002_WG04","WC16-070"
"174","VAC_155005_P002_WG05","A41S-X3"
"175","VAC_155005_P002_WG06","BL14"
"176","VAC_155005_P002_WG07","Chip08"
"177","VAC_155005_P002_WG08","GYPL31"
"178","VAC_155005_P002_WG09","LL12"
"179","VAC_155005_P002_WG10","LOLM12"
"180","VAC_155005_P002_WG11","LRL15"
"182","VAC_155005_P002_WH01","WC16-023"
"183","VAC_155005_P002_WH02","WC16-042"
"184","VAC_155005_P002_WH03","WC16-060"
"185","VAC_155005_P002_WH04","WC16-071"
"186","VAC_155005_P002_WH05","A41S-X8"
"187","VAC_155005_P002_WH06","BL18"
"188","VAC_155005_P002_WH07","Chip10"
"189","VAC_155005_P002_WH08","GYPL32"
"190","VAC_155005_P002_WH09","LL13"
