ID	Experiment	Genotyped
CNJ14-31-206	Jennyne	Yes
CNJ14-31-214	Jennyne	Yes
CNJ14-31-199	Jennyne	Yes
CNJ14-31-207	Jennyne	Yes
CNJ14-31-215	Jennyne	Yes
CNJ14-31-200	Jennyne	Yes
CNJ14-31-208	Jennyne	Yes
CNJ14-31-216	Jennyne	Yes
CNJ14-31-1	MP3	Yes
CNJ14-31-9	MP3	Yes
CNJ14-31-17	MP3	Yes
CNJ14-31-25	MP3	Yes
CNJ14-31-33	MP3	Yes
CNJ14-31-41	MP3	Yes
CNJ14-31-49	MP3	Yes
CNJ14-31-57	MP3	Yes
CNJ14-31-65	MP3	Yes
CNJ14-31-73	MP3	Yes
CNJ14-31-81	MP3	Yes
CNJ14-31-89	MP3	Yes
CNJ14-31-2	MP3	Yes
CNJ14-31-10	MP3	Yes
CNJ14-31-18	MP3	Yes
CNJ14-31-26	MP3	Yes
CNJ14-31-34	MP3	Yes
CNJ14-31-42	MP3	Yes
CNJ14-31-50	MP3	Yes
CNJ14-31-58	MP3	Yes
CNJ14-31-66	MP3	Yes
CNJ14-31-74	MP3	Yes
CNJ14-31-82	MP3	Yes
CNJ14-31-90	MP3	Yes
CNJ14-31-3	MP3	Yes
CNJ14-31-11	MP3	Yes
CNJ14-31-19	MP3	Yes
CNJ14-31-27	MP3	Yes
CNJ14-31-35	MP3	Yes
CNJ14-31-43	MP3	Yes
CNJ14-31-51	MP3	Yes
CNJ14-31-59	MP3	Yes
CNJ14-31-67	MP3	Yes
CNJ14-31-75	MP3	Yes
CNJ14-31-83	MP3	Yes
CNJ14-31-91	MP3	Yes
CNJ14-31-4	MP3	Yes
CNJ14-31-12	MP3	Yes
CNJ14-31-20	MP3	Yes
CNJ14-31-28	MP3	Yes
CNJ14-31-36	MP3	Yes
CNJ14-31-44	MP3	Yes
CNJ14-31-52	MP3	Yes
CNJ14-31-60	MP3	Yes
CNJ14-31-68	MP3	Yes
CNJ14-31-76	MP3	Yes
CNJ14-31-84	MP3	Yes
CNJ14-31-5	MP3	Yes
CNJ14-31-13	MP3	Yes
CNJ14-31-21	MP3	Yes
CNJ14-31-29	MP3	Yes
CNJ14-31-37	MP3	Yes
CNJ14-31-45	MP3	Yes
CNJ14-31-53	MP3	Yes
CNJ14-31-61	MP3	Yes
CNJ14-31-69	MP3	Yes
CNJ14-31-77	MP3	Yes
CNJ14-31-85	MP3	Yes
CNJ14-31-93	MP3	Yes
CNJ14-31-6	MP3	Yes
CNJ14-31-14	MP3	Yes
CNJ14-31-22	MP3	Yes
CNJ14-31-30	MP3	Yes
CNJ14-31-38	MP3	Yes
CNJ14-31-46	MP3	Yes
CNJ14-31-54	MP3	Yes
CNJ14-31-62	MP3	Yes
CNJ14-31-70	MP3	Yes
CNJ14-31-78	MP3	Yes
CNJ14-31-86	MP3	Yes
CNJ14-31-94	MP3	Yes
CNJ14-31-7	MP3	Yes
CNJ14-31-15	MP3	Yes
CNJ14-31-23	MP3	Yes
CNJ14-31-31	MP3	Yes
CNJ14-31-39	MP3	Yes
CNJ14-31-47	MP3	Yes
CNJ14-31-55	MP3	Yes
CNJ14-31-63	MP3	Yes
CNJ14-31-71	MP3	Yes
CNJ14-31-79	MP3	Yes
CNJ14-31-87	MP3	Yes
CNJ14-31-95	MP3	Yes
CNJ14-31-8	MP3	Yes
CNJ14-31-16	MP3	Yes
CNJ14-31-24	MP3	Yes
CNJ14-31-32	MP3	Yes
CNJ14-31-40	MP3	Yes
CNJ14-31-48	MP3	Yes
CNJ14-31-56	MP3	Yes
CNJ14-31-64	MP3	Yes
CNJ14-31-72	MP3	Yes
CNJ14-31-80	MP3	Yes
CNJ14-31-88	MP3	Yes
CNJ14-31-96	MP3	Yes
CNJ14-31-97	MP3	Yes
CNJ14-31-105	MP3	Yes
CNJ14-31-113	MP3	Yes
CNJ14-31-121	MP3	Yes
CNJ14-31-129	MP3	Yes
CNJ14-31-137	MP3	Yes
CNJ14-31-145	MP3	Yes
CNJ14-31-153	MP3	Yes
CNJ14-31-161	MP3	Yes
CNJ14-31-169	MP3	Yes
CNJ14-31-177	MP3	Yes
CNJ14-31-185	MP3	Yes
CNJ14-31-98	MP3	Yes
CNJ14-31-106	MP3	Yes
CNJ14-31-114	MP3	Yes
CNJ14-31-122	MP3	Yes
CNJ14-31-130	MP3	Yes
CNJ14-31-138	MP3	Yes
CNJ14-31-146	MP3	Yes
CNJ14-31-154	MP3	Yes
CNJ14-31-162	MP3	Yes
CNJ14-31-170	MP3	Yes
CNJ14-31-178	MP3	Yes
CNJ14-31-186	MP3	Yes
CNJ14-31-99	MP3	Yes
CNJ14-31-107	MP3	Yes
CNJ14-31-115	MP3	Yes
CNJ14-31-123	MP3	Yes
CNJ14-31-131	MP3	Yes
CNJ14-31-139	MP3	Yes
CNJ14-31-147	MP3	Yes
CNJ14-31-155	MP3	Yes
CNJ14-31-163	MP3	Yes
CNJ14-31-171	MP3	Yes
CNJ14-31-179	MP3	Yes
CNJ14-31-187	MP3	Yes
CNJ14-31-100	MP3	Yes
CNJ14-31-108	MP3	Yes
CNJ14-31-116	MP3	Yes
CNJ14-31-124	MP3	Yes
CNJ14-31-132	MP3	Yes
CNJ14-31-140	MP3	Yes
CNJ14-31-148	MP3	Yes
CNJ14-31-156	MP3	Yes
CNJ14-31-164	MP3	Yes
CNJ14-31-172	MP3	Yes
CNJ14-31-180	MP3	Yes
CNJ14-31-188	MP3	Yes
CNJ14-31-101	MP3	Yes
CNJ14-31-109	MP3	Yes
CNJ14-31-117	MP3	Yes
CNJ14-31-125	MP3	Yes
CNJ14-31-133	MP3	Yes
CNJ14-31-141	MP3	Yes
CNJ14-31-149	MP3	Yes
CNJ14-31-157	MP3	Yes
CNJ14-31-165	MP3	Yes
CNJ14-31-173	MP3	Yes
CNJ14-31-181	MP3	Yes
CNJ14-31-189	MP3	Yes
CNJ14-31-102	MP3	Yes
CNJ14-31-110	MP3	Yes
CNJ14-31-118	MP3	Yes
CNJ14-31-126	MP3	Yes
CNJ14-31-134	MP3	Yes
CNJ14-31-142	MP3	Yes
CNJ14-31-150	MP3	Yes
CNJ14-31-158	MP3	Yes
CNJ14-31-166	MP3	Yes
CNJ14-31-174	MP3	Yes
CNJ14-31-182	MP3	Yes
CNJ14-31-190	MP3	Yes
CNJ14-31-103	MP3	Yes
CNJ14-31-111	MP3	Yes
CNJ14-31-119	MP3	Yes
CNJ14-31-127	MP3	Yes
CNJ14-31-135	MP3	Yes
CNJ14-31-143	MP3	Yes
CNJ14-31-151	MP3	Yes
CNJ14-31-159	MP3	Yes
CNJ14-31-167	MP3	Yes
CNJ14-31-175	MP3	Yes
CNJ14-31-183	MP3	Yes
CNJ14-31-191	MP3	Yes
CNJ14-31-104	MP3	Yes
CNJ14-31-112	MP3	Yes
CNJ14-31-120	MP3	Yes
CNJ14-31-128	MP3	Yes
CNJ14-31-136	MP3	Yes
CNJ14-31-144	MP3	Yes
CNJ14-31-152	MP3	Yes
CNJ14-31-160	MP3	Yes
CNJ14-31-168	MP3	Yes
CNJ14-31-176	MP3	Yes
CNJ14-31-184	MP3	Yes
CNJ14-31-192	MP3	Yes
CNJ14-31-193	MP3	Yes
CNJ14-31-201	MP3	Yes
CNJ14-31-209	MP3	Yes
CNJ14-31-217	MP3	Yes
CNJ14-31-194	MP3	Yes
CNJ14-31-202	MP3	Yes
CNJ14-31-210	MP3	Yes
CNJ14-31-218	MP3	Yes
CNJ14-31-195	MP3	Yes
CNJ14-31-203	MP3	Yes
CNJ14-31-211	MP3	Yes
CNJ14-31-219	MP3	Yes
CNJ14-31-196	MP3	Yes
CNJ14-31-204	MP3	Yes
CNJ14-31-212	MP3	Yes
CNJ14-31-197	MP3	Yes
CNJ14-31-205	MP3	Yes
CNJ14-31-213	MP3	Yes
CNJ14-31-198	MP3	Yes
CNJ14-31-206	MP3	Yes
CNJ14-31-214	MP3	Yes
CNJ14-31-199	MP3	Yes
CNJ14-31-207	MP3	Yes
CNJ14-31-215	MP3	Yes
CNJ14-31-200	MP3	Yes
CNJ14-31-208	MP3	Yes
CNJ14-31-216	MP3	Yes
