ID,Sample_name,Row,Col,Population,Harv_2023_1,Harv_2023_2,Harv_2024_1,Harv_2024_2
WC12-090,WC12-090,110,7,DiversityPanel,,,,
WC12-091,WC12-091,110,8,DiversityPanel,,,,
WC12-101,WC12-101,110,9,DiversityPanel,,,,
WC12-104,WC12-104,110,10,DiversityPanel,,,,
WC12-110,WC12-110,110,13,DiversityPanel,,,,
WC12-112,WC12-112,110,14,DiversityPanel,,,,
WC12-1190,WC12-1190,111,9,DiversityPanel,,,,
WC12-131,WC12-131,110,16,DiversityPanel,,,,
WC12-132,WC12-132,110,17,DiversityPanel,,,,
WC12-133,WC12-133,110,18,DiversityPanel,,,,
WC12-153,WC12-153,110,19,DiversityPanel,,,,
WC12-199,WC12-199,111,1,DiversityPanel,,,,
WC12-221,WC12-221,111,2,DiversityPanel,,,,
WC12-232,WC12-232,111,3,DiversityPanel,,,,
WC12-280,WC12-280,111,4,DiversityPanel,,,,
WC12-288,WC12-288,111,5,DiversityPanel,,,,
WC12-325,WC12-325,111,6,DiversityPanel,,,,
WC12-326,WC12-326,111,7,DiversityPanel,,,,
WC12-332,WC12-332,111,8,DiversityPanel,,,,
WC16-004,WC16-004,111,10,DiversityPanel,,,,
WC16-011,WC16-011,111,11,DiversityPanel,,,,
WC16-014,WC16-014,111,12,DiversityPanel,,,,
WC16-017,WC16-017,111,13,DiversityPanel,,,,
WC16-018,WC16-018,111,14,DiversityPanel,,,,
WC16-023,WC16-023,111,15,DiversityPanel,,,,
WC16-026,WC16-026,109,17,DiversityPanel,,,,
WC16-027,WC16-027,111,16,DiversityPanel,,,,
WC16-029,WC16-029,111,17,DiversityPanel,,,,
WC16-034,WC16-034,111,18,DiversityPanel,,,,
WC16-036,WC16-036,111,19,DiversityPanel,,,,
WC16-037,WC16-037,112,1,DiversityPanel,,,,
WC16-040,WC16-040,112,2,DiversityPanel,,,,
WC16-041,WC16-041,112,3,DiversityPanel,,,,
WC16-042,WC16-042,112,4,DiversityPanel,,,,
WC16-043,WC16-043,112,5,DiversityPanel,,,,
WC16-049,WC16-049,112,6,DiversityPanel,,,,
WC16-051,WC16-051,112,7,DiversityPanel,,,,
WC16-054,WC16-054,112,8,DiversityPanel,,,,
WC16-056,WC16-056,112,9,DiversityPanel,,,,
WC16-058,WC16-058,112,11,DiversityPanel,,,,
WC16-059,WC16-059,112,12,DiversityPanel,,,,
WC16-060,WC16-060,112,13,DiversityPanel,,,,
WC16-061,WC16-061,112,14,DiversityPanel,,,,
WC16-062,WC16-062,112,15,DiversityPanel,,,,
WC16-063,WC16-063,112,16,DiversityPanel,,,,
WC16-066,WC16-066,112,17,DiversityPanel,,,,
WC16-067,WC16-067,112,18,DiversityPanel,,,,
WC16-068,WC16-068,112,19,DiversityPanel,,,,
WC16-070,WC16-070,113,1,DiversityPanel,,,,
WC16-071,WC16-071,113,2,DiversityPanel,,,,
WC16-072,WC16-072,113,3,DiversityPanel,,,,
WC16-073,WC16-073,113,4,DiversityPanel,,,,
WC17-001,WC17-001,113,6,DiversityPanel,,,,
WC17-002,WC17-002,113,7,DiversityPanel,,,,
WC17-003,WC17-003,113,8,DiversityPanel,,,,
WC17-004,WC17-004,113,9,DiversityPanel,,,,
WC17-007-1,WC17-007-1,116,16,DiversityPanel,,,,
WC17-007-7,WC17-007-7,116,18,DiversityPanel,,,,
WC17-008-1,WC17-008-1,116,19,DiversityPanel,,,,
WC17-013-1,WC17-013-1,117,1,DiversityPanel,,,,
WC17-013-5,WC17-013-5,117,2,DiversityPanel,,,,
WC17-014-1,WC17-014-1,117,3,DiversityPanel,,,,
WC17-020-3,WC17-020-3,117,4,DiversityPanel,,,,
WC17-022,WC17-022,117,5,DiversityPanel,,,,
WC17-023-8,WC17-023-8,117,6,DiversityPanel,,,,
WC17-024-1,WC17-024-1,117,7,DiversityPanel,,,,
WC17-025-1,WC17-025-1,117,8,DiversityPanel,,,,
WC17-025-2,WC17-025-2,117,9,DiversityPanel,,,,
WC17-026-3,WC17-026-3,117,10,DiversityPanel,,,,
WC17-026-6,WC17-026-6,117,11,DiversityPanel,,,,
WC17-027-1,WC17-027-1,117,12,DiversityPanel,,,,
WC17-027-2,WC17-027-2,117,13,DiversityPanel,,,,
WC17-027-3,WC17-027-3,117,14,DiversityPanel,,,,
WC17-027-4,WC17-027-4,117,15,DiversityPanel,,,,
WC17-027-5,WC17-027-5,117,16,DiversityPanel,,,,
WC17-027-6,WC17-027-6,117,17,DiversityPanel,,,,
WC17-027-7,WC17-027-7,117,18,DiversityPanel,,,,
WC17-036-1,WC17-036-1,117,19,DiversityPanel,,,,
WC17-036-7,WC17-036-7,118,1,DiversityPanel,,,,
WC17-037-1,WC17-037-1,118,2,DiversityPanel,,,,
WC17-038-1,WC17-038-1,118,3,DiversityPanel,,,,
WC17-038-2,WC17-038-2,118,4,DiversityPanel,,,,
WC17-039-1,WC17-039-1,118,5,DiversityPanel,,,,
WC17-041-1,WC17-041-1,118,7,DiversityPanel,,,,
WC17-042-1,WC17-042-1,118,8,DiversityPanel,,,,
WC17-043-1,WC17-043-1,118,9,DiversityPanel,,,,
WC17-043-8,WC17-043-8,118,10,DiversityPanel,,,,
WC17-046-1,WC17-046-1,118,11,DiversityPanel,,,,
WC17-046-5,WC17-046-5,118,12,DiversityPanel,,,,
WC17-047-1,WC17-047-1,118,13,DiversityPanel,,,,
WC17-047-3,WC17-047-3,118,14,DiversityPanel,,,,
WC17-047-7,WC17-047-7,118,15,DiversityPanel,,,,
WC17-050-3,WC17-050-3,118,16,DiversityPanel,,,,
WC17-052-1,WC17-052-1,118,17,DiversityPanel,,,,
WC17-052-3,WC17-052-3,118,18,DiversityPanel,,,,
WC17-053-3,WC17-053-3,118,19,DiversityPanel,,,,
WC17-053-4,WC17-053-4,119,1,DiversityPanel,,,,
WC17-057-2,WC17-057-2,119,2,DiversityPanel,,,,
WC17-062-1,WC17-062-1,119,3,DiversityPanel,,,,
WC17-063,WC17-063,119,4,DiversityPanel,,,,
WC17-064,WC17-064,119,5,DiversityPanel,,,,
WC17-065-1,WC17-065-1,119,6,DiversityPanel,,,,
WC17-065-2,WC17-065-2,119,7,DiversityPanel,,,,
WC17-065-3,WC17-065-3,119,8,DiversityPanel,,,,
WC17-070-1,WC17-070-1,119,9,DiversityPanel,,,,
WC17-070-7,WC17-070-7,119,10,DiversityPanel,,,,
WC17-072-1,WC17-072-1,119,11,DiversityPanel,,,,
WC17-074-3,WC17-074-3,119,13,DiversityPanel,,,,
WC17-074-5,WC17-074-5,119,14,DiversityPanel,,,,
WC17-079-4,WC17-079-4,119,15,DiversityPanel,,,,
WC17-081-1,WC17-081-1,119,16,DiversityPanel,,,,
WC17-086-1,WC17-086-1,119,17,DiversityPanel,,,,
WC17-090-6,WC17-090-6,119,18,DiversityPanel,,,,
WC17-099-2,WC17-099-2,119,19,DiversityPanel,,,,
Wilcox,Wilcox,107,11,DiversityPanel,,,,
WSU108,WSU108,107,12,DiversityPanel,,,,
YBS01,YBS01,107,14,DiversityPanel,,,,
YBS02,YBS02,107,15,DiversityPanel,,,,
YBS05,YBS05,107,16,DiversityPanel,,,,
YBS06,YBS06,107,17,DiversityPanel,,,,
YBS07,YBS07,107,18,DiversityPanel,,,,
YBS08,YBS08,107,19,DiversityPanel,,,,
YBS09,YBS09,108,1,DiversityPanel,,,,
YBS10,YBS10,108,2,DiversityPanel,,,,
YBS11,YBS11,108,4,DiversityPanel,,,,
YBS12,YBS12,108,5,DiversityPanel,,,,
YBS13,YBS13,108,6,DiversityPanel,,,,
YBS14,YBS14,108,7,DiversityPanel,,,,
YBS16,YBS16,108,8,DiversityPanel,,,,
YBS17,YBS17,108,9,DiversityPanel,,,,
YBS18,YBS18,108,10,DiversityPanel,,,,
YBS19,YBS19,108,11,DiversityPanel,,,,
YBS20,YBS20,108,12,DiversityPanel,,,,
YBS21,YBS21,108,13,DiversityPanel,,,,
YBS22,YBS22,108,14,DiversityPanel,,,,
YBS23,YBS23,108,15,DiversityPanel,,,,
Yellow Bell,YellowBell,107,13,DiversityPanel,,,,
#35 (WC16-35),No351635,20,27,ColorPanel,,,,
Ben Lear (WC12-84),BenLear1284,20,28,ColorPanel,,,,
CNJ04-23-7,CNJ04-23-7_01,14,22,ColorPanel,,,,
CNJ04-23-7,CNJ04-23-7_02,12,27,ColorPanel,,,,
CNJ04-23-7,CNJ04-23-7_03,4,26,ColorPanel,,,,
CNJ04-23-7,CNJ04-23-7_04,6,21,ColorPanel,,,,
CNJ04-23-9,CNJ04-23-9,1,28,ColorPanel,,,,
CNJ05-34-40,CNJ05-34-40,1,20,ColorPanel,,,,
CNJ08-233-1,CNJ08-233-1,2,20,ColorPanel,,,,
CNJ08-233-12,CNJ08-233-12,2,27,ColorPanel,,,,
CNJ08-233-15,CNJ08-233-15,2,28,ColorPanel,,,,
CNJ08-233-19,CNJ08-233-19,7,28,ColorPanel,,,,
CNJ08-233-21,CNJ08-233-21,8,26,ColorPanel,,,,
CNJ08-233-23,CNJ08-233-23,8,28,ColorPanel,,,,
CNJ08-233-24,CNJ08-233-24,9,24,ColorPanel,,,,
CNJ08-233-26,CNJ08-233-26,9,27,ColorPanel,,,,
CNJ08-233-31,CNJ08-233-31,10,26,ColorPanel,,,,
CNJ08-233-32,CNJ08-233-32,13,20,ColorPanel,,,,
CNJ08-233-35,CNJ08-233-35,3,23,ColorPanel,,,,
