Code,ID,Experiment,Genotyped
VAC_155005_P002_WA12,PMW02,Diversity panel,Yes
VAC_155005_P002_WB01,WC12-1190,Diversity panel,Yes
VAC_155005_P002_WB02,WC16-029,Diversity panel,Yes
VAC_155005_P002_WB03,WC16-049,Diversity panel,Yes
VAC_155005_P002_WB04,WC16-062,Diversity panel,Yes
VAC_155005_P002_WB05,WC16-073,Diversity panel,Yes
VAC_155005_P002_WB06,BL03,Diversity panel,Yes
VAC_155005_P002_WB07,BLM01,Diversity panel,Yes
VAC_155005_P002_WB08,FRLK12,Diversity panel,Yes
VAC_155005_P002_WB09,HW05,Diversity panel,Yes
VAC_155005_P002_WB10,LL15,Diversity panel,Yes
VAC_155005_P002_WB11,LRL03,Diversity panel,Yes
VAC_155005_P002_WB12,PMW16,Diversity panel,Yes
VAC_155005_P002_WC01,WC16-004,Diversity panel,Yes
VAC_155005_P002_WC02,WC16-034,Diversity panel,Yes
VAC_155005_P002_WC03,WC16-051,Diversity panel,Yes
VAC_155005_P002_WC04,WC16-063,Diversity panel,Yes
VAC_155005_P002_WC05,WC17-001,Diversity panel,Yes
VAC_155005_P002_WC06,BL04,Diversity panel,Yes
VAC_155005_P002_WC07,Chip01,Diversity panel,Yes
VAC_155005_P002_WC08,GYPL17,Diversity panel,Yes
VAC_155005_P002_WC09,HW12,Diversity panel,Yes
VAC_155005_P002_WC10,LOLM01,Diversity panel,Yes
VAC_155005_P002_WC11,LRL04,Diversity panel,Yes
VAC_155005_P002_WC12,PMW20,Diversity panel,Yes
VAC_155005_P002_WD01,WC16-011,Diversity panel,Yes
VAC_155005_P002_WD02,WC16-036,Diversity panel,Yes
VAC_155005_P002_WD03,WC16-054,Diversity panel,Yes
VAC_155005_P002_WD04,WC16-066,Diversity panel,Yes
VAC_155005_P002_WD05,WC17-002,Diversity panel,Yes
VAC_155005_P002_WD06,BL05,Diversity panel,Yes
VAC_155005_P002_WD07,Chip03,Diversity panel,Yes
VAC_155005_P002_WD08,GYPL18,Diversity panel,Yes
VAC_155005_P002_WD09,KLB17,Diversity panel,Yes
VAC_155005_P002_WD10,LOLM03,Diversity panel,Yes
VAC_155005_P002_WD11,LRL05,Diversity panel,Yes
VAC_155005_P002_WD12,SEB15,Diversity panel,Yes
VAC_155005_P002_WE01,WC16-014,Diversity panel,Yes
VAC_155005_P002_WE02,WC16-037,Diversity panel,Yes
VAC_155005_P002_WE03,WC16-056,Diversity panel,Yes
VAC_155005_P002_WE04,WC16-067,Diversity panel,Yes
VAC_155005_P002_WE05,WC17-003,Diversity panel,Yes
VAC_155005_P002_WE06,BL09,Diversity panel,Yes
VAC_155005_P002_WE07,Chip05,Diversity panel,Yes
VAC_155005_P002_WE08,GYPL19,Diversity panel,Yes
VAC_155005_P002_WE09,LL07,Diversity panel,Yes
VAC_155005_P002_WE10,LOLM07,Diversity panel,Yes
VAC_155005_P002_WE11,LRL10,Diversity panel,Yes
VAC_155005_P002_WE12,SHPL13,Diversity panel,Yes
VAC_155005_P002_WF01,WC16-017,Diversity panel,Yes
VAC_155005_P002_WF02,WC16-040,Diversity panel,Yes
VAC_155005_P002_WF03,WC16-058,Diversity panel,Yes
